managing_city_agency,artwork_type1,material,total,count,average
Department of Parks and Recreation,Bas-relief roundel,Stone,87120,45,1936.0
Department of Parks and Recreation,Bas-relief roundel,Marble,29040,15,1936.0
Department of Parks and Recreation,Bas-relief roundel,Bronze,29040,15,1936.0
Department of Parks and Recreation,Bas-relief roundel,"Bronze, cast stone",29040,15,1936.0
Department of Parks and Recreation,Bas-relief,Stone,23244,12,1937.0
Department of Parks and Recreation,Sculpture,Bronze,13953,7,1993.2857142857142
Department of Parks and Recreation,Bas-relief,"Bronze, cast stone",7748,4,1937.0
Department of Parks and Recreation,Bas-relief,Marble,7748,4,1937.0
Department of Parks and Recreation,Bas-relief,Bronze,7748,4,1937.0
Department of Parks and Recreation,Statue,"Bronze, granite",7552,4,1888.0
Department of Design and Construction,Site-specific installation,Bronze,6042,3,2014.0
Department of Transportation,"Decorative pavement, mosaic",Bronze,6039,3,2013.0
Department of Transportation,Installation,Bronze,6036,3,2012.0
Queens Borough Public Library,Bas-relief sculpture,Bronze,6021,3,2007.0
New York City Economic Development Corporation,Installation,Bronze,5982,3,1994.0
Department of Parks and Recreation,Statue,Stone,5811,3,1937.0
Department of Parks and Recreation,Plaque,Bronze,5805,6,1935.0
Department of Parks and Recreation,Stele,"Bronze, granite",5724,3,1908.0
Department of Parks and Recreation,Sculpture,"Stainless steel, tempered glass",3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Stucco substrate, commercial exterior latex paint",3986,2,1993.0
Department of Parks and Recreation,Sculpture,Cast concrete,3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Terra cotta tile, orange grout",3986,2,1993.0
Department of Parks and Recreation,Sculpture,Brick,3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Cast iron, welded steel",3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Bronze, marble, granite",3986,2,1993.0
Department of Parks and Recreation,Sculpture,Mixed media,3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Steel, stone, concrete, wood, trees, and plants.",3986,2,1993.0
Department of Parks and Recreation,Sculpture,Granite,3986,2,1993.0
Department of Parks and Recreation,Sculpture,Vermilion granite,3986,2,1993.0
Department of Parks and Recreation,Sculpture,Ceramic tile,3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Paving, concrete, terrazzo",3986,2,1993.0
Department of Parks and Recreation,Sculpture,"Stainless steel, iron",3986,2,1993.0
Department of Parks and Recreation,Sculpture,Bluestone Pavers,3986,2,1993.0
Department of Parks and Recreation,Sculpture,"LEDS, structural steel, stainless steel, reflectors",3986,2,1993.0
Department of Parks and Recreation,Statue,Granite,3922,2,1961.0
Department of Parks and Recreation,Statue,"Iron, bronze, granite",3852,2,1926.0
Department of Parks and Recreation,Relief,Granite,3800,2,1900.0
Department of Parks and Recreation,Relief,"Bronze, granite",3800,2,1900.0
Department of Parks and Recreation,Relief,Bronze,3800,2,1900.0
