inspectionrequestid,lot_count,inspectionrequestid,activityid,activityid,originaloverride,detailentrydate,requeststatusid
85733,1,85733,14546,14546,0,2009-05-07 14:42:54,1048
10050,1,10050,20562,20562,0,2000-04-10 10:59:07,1048
132645,1,132645,50550,50550,0,2015-11-23 12:42:55,1048
76632,1,76632,11944,11944,0,2008-04-23 14:29:57,1048
25125,1,25125,28986,28986,0,2002-05-10 10:01:06,1048
2270,1,2270,37822,37822,0,1998-09-08 15:58:38,1048
96980,1,96980,19001,19001,0,2010-06-30 11:49:57,1048
109079,1,109079,41660,41660,0,2012-03-27 09:15:08,1048
109990,1,109990,41808,41808,0,2012-04-16 11:23:02,1048
19547,1,19547,36088,36088,0,2001-07-17 08:14:05,1048
18280,1,18280,35908,35908,0,2001-05-14 14:56:51,1048
58562,1,58562,25016,25016,0,2006-05-23 10:02:53,1048
11783,1,11783,20887,20887,0,2000-03-28 10:45:19,1048
26940,1,26940,29660,29660,0,2002-10-07 09:52:43,1048
60794,2,60794,7819,7819,0,2006-08-14 14:17:19,1048
24229,1,24229,28779,28779,0,2002-06-11 08:22:45,1048
64175,1,64175,8979,8979,0,2007-01-18 08:48:45,1048
27571,1,27571,30991,30991,0,2004-02-03 10:28:53,1048
17037,1,17037,22882,22882,0,2000-10-17 14:22:56,1048
128240,1,128240,48782,48782,1,2015-03-16 11:39:00,1048
55547,1,55547,6121,6121,0,2005-12-05 11:52:15,1048
7804,1,7804,33080,33080,0,1999-04-06 10:21:48,1048
44331,1,44331,17702,17702,0,2004-10-07 11:24:01,1048
67133,1,67133,27051,27051,0,2007-06-06 10:57:04,1048
30505,1,30505,31267,31267,0,2003-08-12 10:22:42,1048
82912,1,82912,13877,13877,0,2008-12-26 22:44:46,1048
67133,1,67133,27051,27051,0,2007-06-06 10:57:44,1048
66183,1,66183,9487,9487,0,2007-05-07 09:16:34,1048
77457,1,77457,32687,32687,0,2008-08-19 11:14:49,1048
133674,1,133674,50996,50996,0,2016-01-19 10:31:12,1048
61742,1,61742,8166,8166,0,2006-09-19 09:34:40,1048
17037,1,17037,22882,22882,0,2000-10-16 08:59:35,1048
112082,1,112082,42892,42892,0,2012-08-09 10:29:07,1048
8641,1,8641,24430,24430,0,2001-07-23 10:15:21,1048
41956,1,41956,15895,15895,0,2004-08-31 14:40:50,1048
54179,1,54179,21438,21438,0,2005-10-07 09:11:03,1048
3382,1,3382,34819,34819,0,1998-05-26 09:34:32,1048
1870,2,1870,18306,18306,0,1998-06-01 11:24:54,1048
4332,1,4332,1735,1735,0,1998-08-31 09:21:07,1048
105445,1,105445,40077,40077,0,2011-08-30 12:48:19,1048
12094,1,12094,19984,19984,0,1999-12-27 08:34:33,1048
38338,1,38338,15469,15469,0,2004-02-17 14:33:10,1048
1747,1,1747,23741,23741,0,1998-04-09 12:45:39,1048
309,1,309,10909,10909,0,1998-03-09 15:53:11,1048
86854,1,86854,14802,14802,0,2009-06-09 15:42:22,1048
133367,1,133367,50692,50692,0,2015-12-11 09:37:38,1048
40125,1,40125,15715,15715,0,2004-09-07 08:58:42,1048
130187,1,130187,49734,49734,0,2015-07-21 09:07:56,1048
17476,1,17476,23415,23415,0,2000-12-20 14:41:27,1048
109510,1,109510,41554,41554,0,2012-03-12 10:05:10,1048
19895,1,19895,36125,36125,0,2001-06-12 08:57:44,1048
2990,1,2990,20779,20779,0,1998-04-14 11:03:03,1048
