group_column1,group_column2,total,average,count
QUEENS,FLUSHING,22758,11379.0,2
MANHATTAN,NEW YORK,90189,10021.0,9
BROOKLYN,FAR ROCKAWAY,23382,11691.0,2
QUEENS,FAR ROCKAWAY,70150,11691.666666666666,6
QUEENS,BROOKLYN,44956,11239.0,4
BRONX,BRONX,52270,10454.0,5
BROOKLYN,BROOKLYN,112279,11227.9,10
