dsny_section,categoriesaccepted,categoriesavailable,cleaned_senate_district,cleaned_congressional_district,count,total
BKS073,"Food/Beverage, Baby Care",Baby Care,26.0,10.0,1,26.0
BKN011,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",,59.0,7.0,1,59.0
MN022,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings","Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",27.0,10.0,1,27.0
QW093,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",15.0,5.0,1,15.0
BKN011,,Books/Media,59.0,7.0,1,59.0
BKN012,,Books/Media,59.0,7.0,1,59.0
MN033,,"Clothing/Personal Accessories, Footwear",27.0,10.0,1,27.0
BX112,"Clothing/Personal Accessories, Footwear",,33.0,15.0,1,33.0
SI036,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",,24.0,11.0,1,24.0
BX111,HealthCare,,33.0,15.0,2,66.0
QW013,"Clothing/Personal Accessories, Footwear",,59.0,7.0,1,59.0
MN022,,,27.0,10.0,1,27.0
BX062,"Clothing/Personal Accessories, Footwear",,32.0,15.0,1,32.0
SI021,,Food/Beverage,23.0,11.0,3,69.0
BKN031,,,25.0,8.0,1,25.0
BKN032,"Clothing/Personal Accessories, Footwear",,25.0,8.0,1,25.0
QE122,"Clothing/Personal Accessories, Footwear",,11.0,5.0,1,11.0
BKN013,"Clothing/Personal Accessories, Footwear",,59.0,7.0,1,59.0
QE075,"Clothing/Personal Accessories, Footwear",,11.0,14.0,3,33.0
QE073,"Clothing/Personal Accessories, Footwear",,16.0,6.0,1,16.0
BX121,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",,36.0,15.0,1,36.0
BKN054,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",,19.0,8.0,1,19.0
SI012,,"Clothing/Personal Accessories, Footwear",23.0,11.0,2,46.0
QW092,"Clothing/Personal Accessories, Footwear",,15.0,7.0,1,15.0
BX012,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment","Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",29.0,14.0,1,29.0
QE082,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games","Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games",11.0,5.0,1,11.0
BKN043,"Clothing/Personal Accessories, Footwear",,18.0,7.0,1,18.0
MN124,"Clothing/Personal Accessories, Footwear",,31.0,13.0,1,31.0
SI036,Clothing/Personal Accessories,,24.0,11.0,2,48.0
SI024,"Clothing/Personal Accessories, Footwear",,24.0,11.0,1,24.0
BKN082,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",,20.0,9.0,1,20.0
BX061,Food/Beverage,Food/Beverage,33.0,15.0,1,33.0
BKS185,,Food/Beverage,21.0,9.0,1,21.0
SI013,"Clothing/Personal Accessories, Footwear",,23.0,11.0,1,23.0
BKN042,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",,18.0,7.0,1,18.0
QE136,Clothing/Personal Accessories,Clothing/Personal Accessories,14.0,5.0,1,14.0
MN021,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings","Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",27.0,10.0,1,27.0
BKN012,Books/Media,Books/Media,59.0,7.0,2,118.0
MN032,,Clothing/Personal Accessories,27.0,10.0,1,27.0
BKN033,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,25.0,8.0,1,25.0
BKS061,,Books/Media,26.0,10.0,1,26.0
