activated,provider,type,coundist,bctcb2010,location_t,ntacode,remarks
2018-04-24 00:00:00,LinkNYC - Citybridge,Free,2.0,72.0,Outdoor Kiosk,MN20,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-10-18 00:00:00,LinkNYC - Citybridge,Free,4.0,122.0,Outdoor Kiosk,MN40,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-06-21 00:00:00,LinkNYC - Citybridge,Free,8.0,182.0,Outdoor Kiosk,MN34,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-10-25 00:00:00,LinkNYC - Citybridge,Free,6.0,195.0,Outdoor Kiosk,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-09-06 00:00:00,LinkNYC - Citybridge,Free,7.0,205.0,Outdoor Kiosk,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-03-13 00:00:00,LinkNYC - Citybridge,Free,7.0,205.0,Outdoor Kiosk,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-03-29 00:00:00,LinkNYC - Citybridge,Free,34.0,555.0,Outdoor Kiosk,BK73,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-06-09 00:00:00,LinkNYC - Citybridge,Free,34.0,491.0,Outdoor Kiosk,BK90,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-10-16 00:00:00,LinkNYC - Citybridge,Free,4.0,120.0,Outdoor Kiosk,MN40,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-03-14 00:00:00,LinkNYC - Citybridge,Free,26.0,55.0,Outdoor Kiosk,QN68,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-01-12 00:00:00,LinkNYC - Citybridge,Free,7.0,199.0,Outdoor Kiosk,MN09,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-10-30 00:00:00,LinkNYC - Citybridge,Free,40.0,818.0,Outdoor Kiosk,BK95,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-05-17 00:00:00,LinkNYC - Citybridge,Free,2.0,68.0,Outdoor Kiosk,MN21,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-07-21 00:00:00,LinkNYC - Citybridge,Free,3.0,139.0,Outdoor Kiosk,MN15,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-10-14 00:00:00,LinkNYC - Citybridge,Free,9.0,222.0,Outdoor Kiosk,MN11,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-08-15 00:00:00,LinkNYC - Citybridge,Free,39.0,135.0,Outdoor Kiosk,BK37,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-07-02 00:00:00,LinkNYC - Citybridge,Free,8.0,25.0,Outdoor Kiosk,BX39,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-01-12 00:00:00,LinkNYC - Citybridge,Free,17.0,71.0,Outdoor Kiosk,BX34,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-04-27 00:00:00,LinkNYC - Citybridge,Free,3.0,127.0,Outdoor Kiosk,MN15,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-04-04 00:00:00,LinkNYC - Citybridge,Free,4.0,131.0,Outdoor Kiosk,MN17,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-04-14 00:00:00,LinkNYC - Citybridge,Free,4.0,131.0,Outdoor Kiosk,MN17,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-03-30 00:00:00,LinkNYC - Citybridge,Free,34.0,513.0,Outdoor Kiosk,BK73,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-07-21 00:00:00,LinkNYC - Citybridge,Free,4.0,88.0,Outdoor Kiosk,MN19,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-03-24 00:00:00,LinkNYC - Citybridge,Free,4.0,128.0,Outdoor Kiosk,MN40,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-09-06 00:00:00,LinkNYC - Citybridge,Free,7.0,187.0,Outdoor Kiosk,MN12,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2017-06-29 00:00:00,LinkNYC - Citybridge,Free,6.0,187.0,Outdoor Kiosk,MN12,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-01-26 00:00:00,LinkNYC - Citybridge,Free,2.0,66.0,Outdoor Kiosk,MN20,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2018-05-02 00:00:00,LinkNYC - Citybridge,Free,38.0,18.0,Outdoor Kiosk,BK32,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-09-06 00:00:00,LinkNYC - Citybridge,Free,1.0,31.0,Outdoor Kiosk,MN24,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
2016-05-12 00:00:00,LinkNYC - Citybridge,Free,6.0,163.0,Outdoor Kiosk,MN12,"Tablet Internet -phone , Free 1 GB Wi-FI Service"
