fatal_crashes,top_vehicle_models_3,vehicle_safety_violations_per_vehicle,percent_wheelchair_accessible_vehicles,industry_sector,book_ahead_service,sector_average_base_safety_violations_per_vehicle,rank,dense_rank
0.0,Cadillac Escalade,0.13,0.0,luxury limo,Not Reported,0.01,1,1
0.0,Chrysler 300,0.13,0.0,luxury limo,Not Reported,0.01,1,1
0.0,Lincoln Navigator,0.06,0.0,luxury limo,Not Reported,0.01,3,1
0.0,Mercedes-Benz Sprinter,0.05,0.0,luxury limo,Not Reported,0.01,4,1
0.0,Chevrolet Tahoe,0.04,0.0,luxury limo,Not Reported,0.01,5,1
0.0,Chrysler 300,0.26,0.0,black car,Not Reported,0.02,1,1
0.0,Toyota Avalon,0.22,0.0,black car,No,0.02,2,1
0.0,Toyota Avalon,0.22,0.0,black car,No,0.02,2,1
0.0,Toyota Avalon,0.22,0.0,black car,No,0.02,2,1
0.0,Toyota Avalon,0.22,0.0,black car,No,0.02,2,1
0.0,Ford Crown Victoria,0.34,0.0,livery,Not Reported,0.03,1,1
0.0,Chevrolet Impala,0.19,0.0,livery,Not Reported,0.03,3,1
0.0,Chrysler 300,0.16,0.0,livery,Not Reported,0.03,4,1
0.0,Toyota Avalon,0.15,0.0,livery,Not Reported,0.03,5,1
0.0,Toyota Avalon,0.15,0.0,livery,Not Reported,0.03,5,1
0.0,Toyota Avalon,0.15,0.0,livery,Not Reported,0.03,5,1
0.0,Chevrolet Trailblazer,0.21,0.0,livery,Not Reported,0.03,2,1
0.0,Toyota Avalon,0.15,0.0,livery,Not Reported,0.03,5,1
