school_name,common_audition7,program3,common_audition1,location,common_audition5,rank,dense_rank
Bronx Studio School for Writers and Artists,,,,"928 SIMPSON STREET, BRONX NY 10459(40.820388, -73.892961)",,1,1
Francis Lewis High School,,University Scholars,,"58-20 UTOPIA PARKWAY, FRESH MEADOWS NY 11365(40.740875, -73.795049)",,1,1
Metropolitan Diploma Plus High School,,,,"985 ROCKAWAY AVENUE, BROOKLYN NY 11212(40.655644, -73.906662)",,1,1
Transit Tech Career and Technical Education High School,,Transit Industrial Electrician,,"1 WELLS STREET, BROOKLYN NY 11208(40.67878, -73.875328)",,1,1
Crotona International High School,,,,"2474 CROTONA AVENUE, BRONX NY 10458(40.855392, -73.882487)",,1,1
The Urban Assembly School for Emergency Management,,,,"411 PEARL STREET, MANHATTAN NY 10038(40.711441, -74.000851)",,1,1
Theatre Arts Production Company School,,Dance,1.0,"2225 WEBSTER AVENUE, BRONX NY 10457(40.854257, -73.897404)",1.0,1,1
Wings Academy,,,,"1122 EAST 180TH STREET, BRONX NY 10460(40.841376, -73.875262)",,1,1
High School of Sports Management,,,,"2630 BENSON AVENUE, BROOKLYN NY 11214(40.593028, -73.986313)",,1,1
High School of Arts and Technology,,,,"122 AMSTERDAM AVENUE, MANHATTAN NY 10023(40.774891, -73.985608)",,1,1
Belmont Preparatory High School,,,,"500 EAST FORDHAM ROAD, BRONX NY 10458(40.859466, -73.888625)",,1,1
Bronx Aerospace High School,,,,"800 EAST GUN HILL ROAD, BRONX NY 10467(40.875172, -73.861649)",,1,1
Comprehensive Model School Project M.S. 327,,,,"1501 JEROME AVENUE, BRONX NY 10452(40.842503, -73.916084)",,1,1
The Cinema School,,,,"1551 EAST 172ND STREET, BRONX NY 10472(40.832508, -73.878191)",,1,1
Khalil Gibran International Academy,,,,"362 SCHERMERHORN STREET, BROOKLYN NY 11217(40.686147, -73.979829)",,1,1
The Clinton School,,,,"10 EAST 15TH STREET, MANHATTAN NY 10003(40.736526, -73.992727)",,1,1
Martin Van Buren High School,,Institute for Law and Humanities,,"230-17 HILLSIDE AVENUE, QUEENS VILLAGE NY 11427(40.733888, -73.739726)",,1,1
Epic High School - North,,,,"94-25 117TH STREET, SOUTH RICHMOND HILL NY 11419(40.693013, -73.829409)",,1,1
The Bronxwood Preparatory Academy,,,,"921 EAST 228TH STREET, BRONX NY 10466(40.888242, -73.852714)",,1,1
Curtis High School,,International Baccalaureate/Scholarship Honors Program,,"105 HAMILTON AVENUE, STATEN ISLAND NY 10301(40.645436, -74.082149)",,1,1
Hillside Arts & Letters Academy,,,,"167-01 GOTHIC DRIVE, JAMAICA NY 11432(40.714551, -73.798658)",,1,1
