issuance,city_council_district,total,average,count
Pending Review,30,10,10.0,1
Pending Review,24,12,12.0,1
Pending Review,35,14,14.0,1
Pending Review,11,9,9.0,1
Pending Review,6,14,7.0,2
Pending Review,3,30,15.0,2
Pending Review,13,4,4.0,1
Issued,3,14,14.0,1
Pending Review,10,18,18.0,1
Pending Review,1,14,7.0,2
Pending Review,2,18,9.0,2
Pending Review,7,5,5.0,1
