permit_year,axle2weight,totalnoofaxle,axle2loadrating,loadoutweight,total_dimension1,average_dimension2
2006,,,,,,
1993,,,,,,
1985,29500.0,3.0,26600.0,,29500.0,26600.0
2007,23000.0,3.0,5750.0,,23000.0,5750.0
2010,,,,,,
2012,23000.0,3.0,5750.0,,23000.0,5750.0
2008,29000.0,3.0,8800.0,,29000.0,8800.0
2013,,,,,,
1987,,,,,,
2013,29000.0,3.0,8800.0,,29000.0,8800.0
1989,33500.0,2.0,33500.0,,33500.0,33500.0
2009,23000.0,3.0,5750.0,,46000.0,5750.0
2015,23000.0,3.0,24020.0,,69000.0,24020.0
2001,29500.0,3.0,32400.0,,29500.0,32400.0
2004,26880.0,3.0,6720.0,,26880.0,6720.0
1988,26000.0,3.0,8800.0,,26000.0,8800.0
2013,23000.0,3.0,5750.0,,69000.0,5750.0
2006,29500.0,3.0,8100.0,,29500.0,8100.0
2002,23000.0,3.0,6610.0,,23000.0,6610.0
2004,29500.0,3.0,9920.0,,29500.0,9920.0
1986,25000.0,3.0,7660.0,,25000.0,7660.0
2005,22700.0,3.0,5675.0,,22700.0,5675.0
2001,,,,,,
2014,23000.0,3.0,24020.0,,23000.0,24020.0
2010,23000.0,3.0,5750.0,,23000.0,5750.0
