type,hotspot_count,latitude,longitude,latitude,longitude,location,location,ntacode
Free,1,40.80439875,-73.9663281704,40.80439875,-73.9663281704,2848 BROADWAY,2848 BROADWAY,MN09
Free,1,40.655745777,-74.0065489228,40.655745777,-74.0065489228,948 3 AVENUE,948 3 AVENUE,BK32
Free,1,40.6682166933,-73.9834274329,40.6682166933,-73.9834274329,431 6 AVENUE,431 6 AVENUE,BK37
Free,1,40.7395310003,-73.9828890001,40.7395310003,-73.9828890001,172 EAST 24 STREET,172 EAST 24 STREET,MN21
Free,1,40.6727060872,-73.8740334898,40.6727060872,-73.8740334898,1197 SUTTER AVENUE,1197 SUTTER AVENUE,BK82
Free,1,40.8201024948,-73.9128382274,40.8201024948,-73.9128382274,487 EAST 156 STREET,487 EAST 156 STREET,BX34
Free,1,40.8495049997,-73.9335959996,40.8495049997,-73.9335959996,181 St (1),181 St (1),MN35
Free,1,40.8092681002,-73.9517076806,40.8092681002,-73.9517076806,2306 FREDERICK DOUGLASS BOULEVARD,2306 FREDERICK DOUGLASS BOULEVARD,MN11
Free,1,40.7116663597,-73.9510261478,40.7116663597,-73.9510261478,2 POWERS STREET,2 POWERS STREET,BK73
Free,1,40.798102,-73.950349,40.798102,-73.950349,pole 18: 111NS2ELe,pole 18: 111NS2ELe,MN11
Limited Free,1,40.5803519997,-73.8266210003,40.5803519997,-73.8266210003,Beach 108 - Comfort Station and Beach,Beach 108 - Comfort Station and Beach,QN10
Free,1,40.7407749998,-73.9815760003,40.7407749998,-73.9815760003,359 3 AVENUE,359 3 AVENUE,MN20
Free,1,40.7986290002,-73.9416169996,40.7986290002,-73.9416169996,116 St (6),116 St (6),MN34
Free,1,40.7559829997,-73.9862289995,40.7559829997,-73.9862289995,Times Square - 42nd Street,Times Square - 42nd Street,MN17
Free,1,40.7136065153,-74.0078616724,40.7136065153,-74.0078616724,9 MURRAY STREET,9 MURRAY STREET,MN24
Free,1,40.7622099,-73.9818807495,40.7622099,-73.9818807495,159 WEST 52 STREET,159 WEST 52 STREET,MN17
Free,1,40.7178279998,-74.0009619996,40.7178279998,-74.0009619996,101 LAFAYETTE STREET,101 LAFAYETTE STREET,MN24
Free,1,40.7047004998,-74.0083008003,40.7047004998,-74.0083008003,"90 Water Street, New York, NY 10005, USA","90 Water Street, New York, NY 10005, USA",MN25
Free,1,40.7669397902,-73.9831552895,40.7669397902,-73.9831552895,301 WEST 57 STREET,301 WEST 57 STREET,MN15
Free,1,40.7697493901,-73.9667634197,40.7697493901,-73.9667634197,22 EAST 69 STREET,22 EAST 69 STREET,MN40
Limited Free,1,40.6950769996,-73.8228169995,40.6950769996,-73.8228169995,North West side of Park,North West side of Park,QN54
Free,1,40.7152266304,-73.9627406698,40.7152266304,-73.9627406698,230 BERRY STREET,230 BERRY STREET,BK73
Free,1,40.702147,-73.8011089995,40.702147,-73.8011089995,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,QN61
