bin__,total_est_fee_sum,job_status,job_status_descrp,latest_action_date,owner_s__phone__
1088870,1600.0,R,APPLICATION PROCESSED - ENTIRE          ,09/12/2017 00:00:00,2124881645
1088870,800.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/03/2017 00:00:00,2124881645
1085682,300.6,J,PLAN EXAM - DISAPPROVED                 ,10/11/2017 00:00:00,2122576600
1035053,600.0,P,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00,6469653616
4111794,400.0,D,APPLICATION PROCESSED - ENTIRE          ,08/25/2017 00:00:00,5163265353
4223565,600.0,D,APPLICATION PROCESSED - ENTIRE          ,08/24/2017 00:00:00,5163265353
4146186,900.0,D,APPLICATION PROCESSED - ENTIRE          ,08/24/2017 00:00:00,5163265353
4433427,100.0,P,PLAN EXAM - APPROVED                    ,09/15/2017 00:00:00,7182254740
1087745,160.6,D,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00,6467346681
4184263,150.3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/16/2017 00:00:00,5163435050
4449970,181.2,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/06/2017 00:00:00,9174462632
4146186,900.0,D,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00,5163265353
4146186,300.0,D,APPLICATION PROCESSED - ENTIRE          ,09/08/2017 00:00:00,5163265353
1032645,300.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/31/2017 00:00:00,2127443300
1081009,698.0999999999999,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00,2122576600
4146186,600.0,D,APPLICATION PROCESSED - ENTIRE          ,08/25/2017 00:00:00,5163265353
4146186,600.0,D,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00,5163265353
3128805,400.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00,7184754736
1088870,3200.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/12/2017 00:00:00,2124881645
4111794,600.0,D,APPLICATION PROCESSED - ENTIRE          ,08/24/2017 00:00:00,5163265353
2057273,300.0,D,APPLICATION PROCESSED - ENTIRE          ,09/08/2017 00:00:00,5163265353
4208831,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/03/2017 00:00:00,2124881645
4208831,200.0,R,PLAN EXAM - DISAPPROVED                 ,10/04/2017 00:00:00,2124881645
1013686,959.8,P,PLAN EXAM - APPROVED                    ,09/20/2017 00:00:00,7184853000
1015266,300.6,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/03/2017 00:00:00,2039472825
4437222,300.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00,5165265955
4114132,160.6,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/18/2017 00:00:00,6462440901
4111794,600.0,D,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00,5163265353
4111794,200.0,D,APPLICATION PROCESSED - ENTIRE          ,09/08/2017 00:00:00,5163265353
4208831,100.0,R,PLAN EXAM - DISAPPROVED                 ,10/03/2017 00:00:00,2124881645
4116510,150.3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/28/2017 00:00:00,3474686615
3088276,240.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/14/2017 00:00:00,6306238437
3424727,200.0,D,APPLICATION PROCESSED - ENTIRE          ,09/20/2017 00:00:00,7183299537
4113289,400.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00,2126092656
1030741,240.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/12/2017 00:00:00,2128770028
2057273,900.0,D,APPLICATION PROCESSED - ENTIRE          ,08/24/2017 00:00:00,5163265353
4111794,200.0,D,APPLICATION PROCESSED - ENTIRE          ,08/15/2017 00:00:00,5163265353
1088841,420.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00,2122576600
3247095,100.0,H,PLAN EXAM - IN PROCESS                  ,09/01/2017 00:00:00,9147618880
1088760,930.8,D,APPLICATION PROCESSED - ENTIRE          ,08/18/2017 00:00:00,9176475309
1089941,160.6,P,PLAN EXAM - APPROVED                    ,10/06/2017 00:00:00,2126784400
1016123,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/22/2017 00:00:00,2125030909
