fact_column,total_dimension1,average_dimension2,t2_location,t5_location,issue_descriptor,address_type,park_borough
Illegal Parking,10470.0,1021545.0,"{'type': 'Point', 'coordinates': [-73.865094207627, 40.899206586639]}","{'type': 'Point', 'coordinates': [-73.865094207627, 40.899206586639]}",Blocked Hydrant,INTERSECTION,BRONX
Noise - Vehicle,11366.0,1038334.0,"{'type': 'Point', 'coordinates': [-73.804875565069, 40.724915407989]}","{'type': 'Point', 'coordinates': [-73.804875565069, 40.724915407989]}",Car/Truck Horn,ADDRESS,QUEENS
PAINT/PLASTER,10458.0,1016042.0,"{'type': 'Point', 'coordinates': [-73.885036872589, 40.877896457579]}","{'type': 'Point', 'coordinates': [-73.885036872589, 40.877896457579]}",CEILING,ADDRESS,BRONX
Noise - Street/Sidewalk,10035.0,1001843.0,"{'type': 'Point', 'coordinates': [-73.936455001709, 40.801432934576]}","{'type': 'Point', 'coordinates': [-73.936455001709, 40.801432934576]}",Loud Music/Party,ADDRESS,MANHATTAN
Street Condition,10453.0,1007362.0,"{'type': 'Point', 'coordinates': [-73.916452996361, 40.855340107085]}","{'type': 'Point', 'coordinates': [-73.916452996361, 40.855340107085]}",Pothole,ADDRESS,BRONX
Noise - Vehicle,11230.0,993346.0,"{'type': 'Point', 'coordinates': [-73.967230022457, 40.630197480963]}","{'type': 'Point', 'coordinates': [-73.967230022457, 40.630197480963]}",Engine Idling,ADDRESS,BROOKLYN
Noise - Vehicle,10026.0,996213.0,"{'type': 'Point', 'coordinates': [-73.956789043461, 40.80332248776]}","{'type': 'Point', 'coordinates': [-73.956789043461, 40.80332248776]}",Car/Truck Music,ADDRESS,MANHATTAN
GENERAL,10458.0,1014120.0,"{'type': 'Point', 'coordinates': [-73.892019442764, 40.857935527592]}","{'type': 'Point', 'coordinates': [-73.892019442764, 40.857935527592]}",BELL/BUZZER/INTERCOM,ADDRESS,BRONX
Illegal Parking,11201.0,986417.0,"{'type': 'Point', 'coordinates': [-73.99218577798, 40.691813946449]}","{'type': 'Point', 'coordinates': [-73.99218577798, 40.691813946449]}",Posted Parking Sign Violation,ADDRESS,BROOKLYN
PLUMBING,20912.0,1011127.0,"{'type': 'Point', 'coordinates': [-73.902878718735, 40.830868631191]}","{'type': 'Point', 'coordinates': [-73.902878718735, 40.830868631191]}",TOILET,ADDRESS,BRONX
Damaged Tree,11436.0,1041646.0,"{'type': 'Point', 'coordinates': [-73.793075774218, 40.676839310478]}","{'type': 'Point', 'coordinates': [-73.793075774218, 40.676839310478]}",Branch Cracked and Will Fall,ADDRESS,QUEENS
GENERAL,10458.0,1014120.0,"{'type': 'Point', 'coordinates': [-73.892019442764, 40.857935527592]}","{'type': 'Point', 'coordinates': [-73.892019442764, 40.857935527592]}",DAMP SPOT,ADDRESS,BRONX
Drinking,11377.0,1008120.0,"{'type': 'Point', 'coordinates': [-73.913856458031, 40.744514319994]}","{'type': 'Point', 'coordinates': [-73.913856458031, 40.744514319994]}",In Public,UNRECOGNIZED,QUEENS
FLOORING/STAIRS,10454.0,1008349.0,"{'type': 'Point', 'coordinates': [-73.912948887678, 40.806613347555]}","{'type': 'Point', 'coordinates': [-73.912948887678, 40.806613347555]}",FLOOR,ADDRESS,BRONX
Blocked Driveway,11105.0,1007727.0,"{'type': 'Point', 'coordinates': [-73.915233287014, 40.777095460231]}","{'type': 'Point', 'coordinates': [-73.915233287014, 40.777095460231]}",No Access,ADDRESS,QUEENS
Food Establishment,11379.0,1011666.0,"{'type': 'Point', 'coordinates': [-73.901104142303, 40.71439134358]}","{'type': 'Point', 'coordinates': [-73.901104142303, 40.71439134358]}",Food Temperature,ADDRESS,QUEENS
Water System,11692.0,1043639.0,"{'type': 'Point', 'coordinates': [-73.786164950848, 40.591271393294]}","{'type': 'Point', 'coordinates': [-73.786164950848, 40.591271393294]}",Dirty Water (WE),ADDRESS,QUEENS
Abandoned Vehicle,11234.0,1002331.0,"{'type': 'Point', 'coordinates': [-73.934876629632, 40.613091887243]}","{'type': 'Point', 'coordinates': [-73.934876629632, 40.613091887243]}",With License Plate,ADDRESS,BROOKLYN
HEAT/HOT WATER,10016.0,989057.0,"{'type': 'Point', 'coordinates': [-73.982652249533, 40.744331137992]}","{'type': 'Point', 'coordinates': [-73.982652249533, 40.744331137992]}",APARTMENT ONLY,ADDRESS,MANHATTAN
Water System,11385.0,1010296.0,"{'type': 'Point', 'coordinates': [-73.906059113172, 40.70512367928]}","{'type': 'Point', 'coordinates': [-73.906059113172, 40.70512367928]}",Hydrant Running (WC3),ADDRESS,QUEENS
Illegal Parking,10460.0,1017421.0,"{'type': 'Point', 'coordinates': [-73.880116316779, 40.841263402394]}","{'type': 'Point', 'coordinates': [-73.880116316779, 40.841263402394]}",Double Parked Blocking Vehicle,ADDRESS,BRONX
Noise - Residential,31398.0,1023076.0,"{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}","{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}",Loud Music/Party,ADDRESS,BRONX
