school_name,nta,total_students,psal_sports_coed,partner_corporate,extracurricular_activities,rank,dense_rank
Richard R. Green High School of Teaching,Battery Park City-Lower Manhattan                                          ,593.0,,,"Art, Bank of America Future Leaders, Book, College for Every Student (CFES), College Mentoring for Access and Persistence (MAP), The Future Project, New York Cares, Peer Tutoring, Peer Mediation Center, Senior Activities, Student Government Organization, The Dream Team, Yearbook, Anti-Defamation League Peer Leaders (ADL), Sports Blogging/ Webcasting",1,1
Thurgood Marshall Academy for Learning and Social Change,Central Harlem North-Polo Grounds                                          ,572.0,,"O’Melveny & Myers LLP, NBC Universal","Advisory, Choral Ensemble, Dance, Debate Team, International, Mentoring, Moot Court, Music, Poetry, Squash Book",1,1
Brooklyn Preparatory High School,North Side-South Side                                                      ,489.0,Double Dutch,"Digitas, AT&T, AT Kearney, Disney","Cheerleading, Chess, College Exploration, Craft Club, Dance performances, Film/Documentary Club, Full-length dramatic production, Genealogy Club, High School Heroes, Job Shadowing, Leadership Class, Music performances, Newspaper, Numerous art clubs with installations and presentations, Peer Mediation, Peer Tutoring, Puzzle, Step Team, Student Government, Travel, Yearbook",1,1
Bronx Leadership Academy II High School,East Concourse-Concourse Village                                           ,515.0,"Cross Country, Indoor Track",Bloomberg Inc.,"Academic Tutoring, Acting, Activism, buildOn, Math, Mock Trial/Law, National Honor Society, Photography, Poetry, SAT Prep, School Newspaper, Step/Dance, Student Council, Sustainability, The Men's Club, Yearbook (Seniors), Yoga",1,1
High School for Violin and Dance,Morrisania-Melrose                                                         ,378.0,,Print International,"Advancement via Individual Determination (AVID), Character Education Leadership Program, College Summit, Community Service, National Honor Society, PM School, Saturday School, Student Council, Study Jams; Clubs vary each year according to student interest.",1,1
Francis Lewis High School,Auburndale                                                                 ,4058.0,,"Us, The Margaret Tietz Nursing and Rehabilitation Center","Junior Reserve Officers' Training Corp (JROTC), Conflict Resolution, Peer Mediation & Negotiation, Principal's Consultative Council, National Honor Society, Student Organization, Publications, Math Team, Authentic Science Research, Mock Trial, Debate Team, Moot Court, Yearbook, Winter & Spring Concerts, School Play, SING, Holiday Spectacular, Computer Programming, Newspaper, Drama, Performing Arts, Dance, Marching Band, Concert Choir, Mixed Chorus, Jazz Band, Honors Orchestra, Robotics, Anime, Art, ASPIRA, Bridge to Medicine, Career, Caribbean, Cheerleading, Chinese, Chinese Drama, Comparative Literature, Dance, Desi, Filipino, Food, Future Educators of America, Girls Who Code, Glee Club, Healthy Heart, Hearts on a String, Hebrew, Hellenic, History, Horticulture, Humans of Francis Lewis, Improv, Italian, Japanese, Key Club, Korean, Music, Media Production, Model UN, Muslim, Nu Gamma Psi, Pre-Med, SAT, Science Explorers, Science Olympiad, Seekers Christian Fellowship, Share an Umbrella, Solitaire-Anti-Bullying, Step Squad, Tech Crew, TVB Cantonese",1,1
Mott Haven Village Preparatory High School,Melrose South-Mott Haven North                                             ,344.0,"Bowling, Handball, Tennis",,"Respect for All Program, Annual 'World's Fair' Exhibition, Book, College Tours, Community Service, Dance, Discussion Groups, DJ Mixing, Literature Appreciation Program, Museum, Newsletter, PSAT/SAT Prep, Readers in Residence, Special Events Committee, Spoken Word, Student Government, Student Leadership Retreats, Visual and Performing Arts Appreciation Program, Writers, Spectrum",1,1
Validus Preparatory Academy: An Expeditionary Learning School,Claremont-Bathgate                                                         ,374.0,Cross Country,,"AfterWORDS Literacy Project, Big Brothers Big Sisters, Business, Capoeira (Brazilian Martial Arts), Chess, Choir, Crochet, Drama, Engineering, Hip-Hop Dance, Karate, Latin Ballroom Dance, Percussion (African and Latin), Screen Printing, Step Dance Squad, Student Crew Leader Assembly (SCLA), Table Tennis, Tech Squad, Yearbook; additional clubs added by student request",1,1
PROGRESS High School for Professional Careers,Bushwick South                                                             ,1083.0,Baseball,"Student internships with corporate partners: Citigroup, Verizon, Kramer Levin Naftalis & Frankel law firm","National Honor Society, Peer Mediation, Student Government, Student Leadership Retreats, Science Fair and Science Research Program, Math and Technology Fair, Student Internships, Advanced Visual Arts Classes, Saturday Academy; 3 full concert bands, 2 jazz bands, 2 choral ensembles, 2 dance ensembles, chamber groups such as guitar ensemble, brass choir and clarinet choir; Annual theater/musical theater performances by students; 20 after-school clubs; Presentations at City/State Conferences, School Spirit Activities",1,1
Brooklyn Lab School,park-cemetery-etc-Brooklyn                                                 ,364.0,"Cross Country, Indoor Track, Outdoor Track, Swimming",Bialosky and Partners,"Math Club, Culinary Club, Mural Painting Club, Step Team, National Honor Society, Gay-Straight- Bisexual Alliance, Women's Fitness Group, Women's Empowerment Group, Music Club, Opening Act (Theater), Piano Club",1,1
