year,industrytypename,total,average,count
1988,Other,,,1
2007,Cement,,,1
2010,Other,,,2
2013,Other,,,4
1985,Construction,,,1
2006,Construction,,,2
2009,Other,,,2
2008,Other,,,1
1993,Construction,,,1
2015,Other,,,3
2014,Other,,,1
2005,Other,,,1
1986,Other,,,1
1989,Construction,,,1
2002,Other,,,1
1987,Other,,,1
2001,Construction,,,4
2012,Other,,,1
2004,Construction,,,2
2013,Construction,,,1
