bin,bin,total_failure_to_file_amt
3338423,3338423,3000.0
3001482,3001482,5000.0
3324228,3324228,12000.0
1087266,1087266,0.0
2051297,2051297,12000.0
2114693,2114693,5000.0
1087657,1087657,6000.0
2091966,2091966,0.0
1048574,1048574,1000.0
1043215,1043215,30000.0
4430798,4430798,0.0
1023750,1023750,0.0
1017588,1017588,1000.0
1059716,1059716,10000.0
1090668,1090668,0.0
1081701,1081701,78000.0
1083461,1083461,0.0
2013018,2013018,5000.0
1088885,1088885,0.0
1081126,1081126,5000.0
3002548,3002548,0.0
1016287,1016287,5000.0
2084073,2084073,1000.0
2015481,2015481,10000.0
2015581,2015581,5000.0
1013553,1013553,0.0
4536854,4536854,1000.0
1015200,1015200,14000.0
1090180,1090180,0.0
4533965,4533965,112000.0
1045287,1045287,0.0
3342263,3342263,10000.0
2003060,2003060,0.0
1079356,1079356,0.0
2057437,2057437,7000.0
3396505,3396505,20000.0
3154983,3154983,0.0
2015403,2015403,5000.0
1033133,1033133,1000.0
1024811,1024811,0.0
1087637,1087637,5000.0
2002852,2002852,2000.0
3326947,3326947,0.0
1053397,1053397,25000.0
1030378,1030378,0.0
1039990,1039990,0.0
1031763,1031763,11000.0
4301620,4301620,5000.0
1090448,1090448,0.0
2092911,2092911,0.0
