program_name,ecers_observation_average_score,class_instructional_support_score,strong_family_community_ties_survey_percent_positive,class_classroom_organization_score,trust_survey_percent_positive,rank,dense_rank
Brite Adventure Center (30th Avenue),3.9,2.1,0.92,5.6,1.0,1,1
P.S. 221 The North Hills School,5.3,,,,,1,1
P.S. 244 Richard R. Green,4.7,4.3,0.87,6.3,0.83,1,1
P.S. 244 Richard R. Green,4.7,4.3,0.87,6.3,0.99,1,2
P.S. 244 Richard R. Green,4.7,4.3,0.87,6.3,1.0,1,3
P.S. 244 Richard R. Green,4.7,4.3,0.87,6.3,1.0,1,3
Wave Preparatory Elementary School,4.0,,0.95,,0.98,1,1
Wave Preparatory Elementary School,4.0,,0.95,,0.99,1,2
P.S. 36 J. C. Drumgoole,4.7,3.7,0.96,6.3,0.94,1,1
P.S. 36 J. C. Drumgoole,4.7,3.7,0.96,6.3,0.98,1,2
Small World Preschool,4.1,2.9,0.83,6.3,0.74,1,1
P.S. 169 Bay Terrace,3.8,,0.99,,1.0,1,1
P.S. 192 - The Magnet School for Math and Science Inquiry,3.8,,,,0.91,1,1
P.S. 192 - The Magnet School for Math and Science Inquiry,3.8,,,,0.94,1,2
P.S. 192 - The Magnet School for Math and Science Inquiry,3.8,,,,0.99,1,3
P.S. 192 - The Magnet School for Math and Science Inquiry,3.8,,,,1.0,1,4
P.S. 192 - The Magnet School for Math and Science Inquiry,3.8,,,,,1,5
P.S. 34 Oliver H. Perry,4.0,,0.97,,0.95,1,1
P.S. 34 Oliver H. Perry,4.0,,0.97,,0.98,1,2
P.S. 34 Oliver H. Perry,4.0,,0.97,,1.0,1,3
P.S. 34 Oliver H. Perry,4.0,,0.97,,,1,4
P.S. 42 Eltingville,4.9,5.3,1.0,6.6,0.94,1,1
P.S. 42 Eltingville,4.9,5.3,1.0,6.6,0.98,1,2
P.S. 101 School in the Gardens,4.4,2.5,0.98,6.3,0.98,1,1
P.S. 101 School in the Gardens,4.4,2.5,0.98,6.3,1.0,1,2
P.S. 155 William Paca,2.3,4.5,,7.0,,1,1
"PHEBEANA PRESCHOOL, INC.",5.0,4.2,0.94,6.9,0.95,1,1
"PHEBEANA PRESCHOOL, INC.",5.0,4.2,0.94,6.9,1.0,1,2
"PHEBEANA PRESCHOOL, INC.",5.0,4.2,0.94,6.9,,1,3
The STAR Academy - P.S. 63,3.3,,0.94,,1.0,1,1
Tiferes Bnos,4.9,3.8,1.0,6.3,1.0,1,1
Tiferes Bnos,4.9,3.8,1.0,6.3,1.0,1,1
P.S. 115 Daniel Mucatel School,2.7,3.1,0.96,5.5,0.95,1,1
P.S. 115 Daniel Mucatel School,2.7,3.1,0.96,5.5,0.97,1,2
P.S. 115 Daniel Mucatel School,2.7,3.1,0.96,5.5,1.0,1,3
P.S. 23 The New Children's School,3.4,4.3,0.97,6.9,0.99,1,1
P.S. 23 The New Children's School,3.4,4.3,0.97,6.9,0.99,1,1
P.S. 23 The New Children's School,3.4,4.3,0.97,6.9,1.0,1,2
P.S. 23 The New Children's School,3.4,4.3,0.97,6.9,,1,3
Urban Scholars Community School,2.9,3.7,0.99,6.3,0.93,1,1
Urban Scholars Community School,2.9,3.7,0.99,6.3,0.97,1,2
Urban Scholars Community School,2.9,3.7,0.99,6.3,1.0,1,3
ACE Early Childhood Center,3.7,2.1,0.94,5.8,0.81,1,1
ACE Early Childhood Center,3.7,2.1,0.94,5.8,0.92,1,2
ACE Early Childhood Center,3.7,2.1,0.94,5.8,0.92,1,2
