location_name,wheelchair_accessible,access_requirements,borough_name,wireline_up,job_readiness_ex_resume_help,wifi_dwn,rank,dense_rank
Greenbelt Media Lab,Y,Y,Staten Island,,N,,1,1
Harry Belafonte 115th Street Library,Y,N,Manhattan,1000.0,Y,1000.0,1,1
SAGE Center Harlem,Y,Y,Manhattan,227.5,N,511.4,3,2
Saint Nicholas Social Club,Y,Y,Manhattan,420.2,N,420.2,2,3
Carver Neighborhood Older Adults Center,Y,Y,Manhattan,80.0,N,96.0,4,4
Independence Plaza Older Adult Center,Y,Y,Manhattan,10.5,N,24.3,5,6
High Bridge Library,Y,N,Bronx,1000.0,Y,1000.0,1,1
Sue Ginsburg Older Adult Center,Y,Y,Bronx,80.0,N,91.0,2,2
Melrose Mott Haven Neighborhood Senior Center,Y,Y,Bronx,45.1,N,84.7,3,3
Cypress Hills Adult Social Club,Partially,Y,Brooklyn,30.4,N,416.6,3,1
McCarren Media Lab,Y,Y,Brooklyn,160.8,N,103.6,1,2
Coney Island Library,Y,N,Brooklyn,15.0,N,100.0,4,3
Rugby Library,Y,N,Brooklyn,15.0,Y,100.0,4,3
Scheuer House of Coney Island Older Adult Center,Y,Y,Brooklyn,60.0,N,92.1,2,5
Club Holliswood Older Adult Center,Y,Y,Queens,20.9,N,94.1,4,1
North Forest Park Library,,N,Queens,500.0,N,24.4,1,2
Broad Channel Library,,N,Queens,500.0,N,24.4,1,2
South Jamaica Cornerstone Community Center,Y,,Queens,293.9,N,10.4,3,3
Jacob A. Riis Neighborhood Settlement Community Center,,,Queens,0.0,Y,0.0,5,4
