school_name,total_attendance_rate
The Bronxwood Preparatory Academy,0.91
Epic High School - North,0.83
Theatre Arts Production Company School,0.81
Martin Van Buren High School,0.88
The Cinema School,0.88
Bronx Aerospace High School,0.81
Comprehensive Model School Project M.S. 327,0.88
The Clinton School,0.96
Khalil Gibran International Academy,0.85
Crotona International High School,0.85
The Urban Assembly School for Emergency Management,0.81
Wings Academy,0.79
Hillside Arts & Letters Academy,0.87
Curtis High School,0.85
Bronx Studio School for Writers and Artists,0.85
Metropolitan Diploma Plus High School,0.63
Francis Lewis High School,0.93
Transit Tech Career and Technical Education High School,0.87
High School of Sports Management,0.76
Belmont Preparatory High School,0.86
High School of Arts and Technology,0.78
