t2_fullapplicationno,fullapplicationno,applicationdate,t5_applicationdate,trailerstate,endcity,category,count,avg_value,total_value,max_value
Pla-2022114-43986,Pla-2022114-43986,2022-11-05 07:01:51+08:00,2022-11-05 07:01:51+08:00,,Bronx,standard,1,27500.0,27500,27500
THE1-2023427-18513,THE1-2023427-18513,2023-04-28 00:13:58+08:00,2023-04-28 00:13:58+08:00,ME,THE BRONX,standard,1,119000.0,119000,119000
All1-2023424-17873,All1-2023424-17873,2023-04-25 00:48:25+08:00,2023-04-25 00:48:25+08:00,NY,New York,standard,1,65100.0,65100,65100
Hig-2022531-20399,Hig-2022531-20399,2022-05-31 17:40:08+08:00,2022-05-31 17:40:08+08:00,,MANHATTAN,heavy,1,158400.0,158400,158400
Ans-2022317-9438,Ans-2022317-9438,2022-03-17 20:12:58+08:00,2022-03-17 20:12:58+08:00,PA,New York,standard,1,46500.0,46500,46500
HAR-2023314-11901,HAR-2023314-11901,2023-03-15 02:26:02+08:00,2023-03-15 02:26:02+08:00,NJ,BROOKLYN,standard,1,78000.0,78000,78000
HAR-202346-15404,HAR-202346-15404,2023-04-06 23:21:32+08:00,2023-04-06 23:21:32+08:00,NJ,,standard,1,50000.0,50000,50000
HAR-20231116-36933,HAR-20231116-36933,2023-11-16 22:35:49+08:00,2023-11-16 22:35:49+08:00,NJ,,standard,1,74500.0,74500,74500
HAR-2023125-38524,HAR-2023125-38524,2023-12-05 23:25:51+08:00,2023-12-05 23:25:51+08:00,NJ,,standard,1,35000.0,35000,35000
Com2-2022419-14562,Com2-2022419-14562,2022-04-19 21:06:12+08:00,2022-04-19 21:06:12+08:00,GA,Queens,standard,1,34900.0,34900,34900
NYC3-2021910-26960,NYC3-2021910-26960,2021-09-10 17:25:25+08:00,2021-09-10 17:25:25+08:00,NY,Bronx,standard,1,49100.0,49100,49100
Mut-20221011-39970,Mut-20221011-39970,2022-10-11 23:59:11+08:00,2022-10-11 23:59:11+08:00,PA,,standard,1,70000.0,70000,70000
New-2022624-24595,New-2022624-24595,2022-06-24 23:21:46+08:00,2022-06-24 23:21:46+08:00,PA,,standard,1,42000.0,42000,42000
Cus-2022321-10038,Cus-2022321-10038,2022-03-22 02:27:03+08:00,2022-03-22 02:27:03+08:00,NY,,standard,1,41950.0,41950,41950
HAR-2023912-30784,HAR-2023912-30784,2023-09-12 21:52:51+08:00,2023-09-12 21:52:51+08:00,NJ,MANHATTAN,standard,1,110800.0,110800,110800
