filing_type,owner_city,current_status,category,count,avg_value,total_value,max_value
Auto-Generated,,SWARMP,Medium Penalty,5,10500.0,52500.0,14500.0
Auto-Generated,,SWARMP,High Penalty,9,35055.555555555555,315500.0,90900.0
Amended,NEW YORK,UNSAFE,Low Penalty,1,0.0,0.0,0.0
Auto-Generated,,UNSAFE,High Penalty,2,23800.0,47600.0,24600.0
Auto-Generated,,SAFE,Medium Penalty,10,9425.0,94250.0,15000.0
Initial,NEW YORK,SAFE,High Penalty,1,39950.0,39950.0,39950.0
Auto-Generated,,No Report Filed,High Penalty,1,112000.0,112000.0,112000.0
Auto-Generated,,UNSAFE,Medium Penalty,2,10000.0,20000.0,12000.0
Amended,NEW YORK,SAFE,Low Penalty,1,0.0,0.0,0.0
Auto-Generated,,SWARMP,Low Penalty,3,3166.6666666666665,9500.0,5000.0
Auto-Generated,,UNSAFE,Low Penalty,5,800.0,4000.0,4000.0
Amended,NEW YORK,UNSAFE,High Penalty,1,26000.0,26000.0,26000.0
Initial,NEW YORK,SAFE,Low Penalty,2,3750.0,7500.0,3750.0
Auto-Generated,,SAFE,High Penalty,10,33425.0,334250.0,62500.0
Initial,NEW YORK,SWARMP,Low Penalty,1,0.0,0.0,0.0
Auto-Generated,,SAFE,Low Penalty,8,2300.0,18400.0,5000.0
Auto-Generated,,No Report Filed,Low Penalty,1,0.0,0.0,0.0
