last_modified_date_electric,category,count,avg_value,total_value,max_value
04/17/2020 12:53 PM EDT,High electricity use,3,939255.3666666667,2817766.1,1192289.3
04/22/2020 04:36 PM EDT,High electricity use,1,60402772.5,60402772.5,60402772.5
09/24/2020 03:06 PM EDT,High electricity use,1,10069180.5,10069180.5,10069180.5
04/27/2020 05:07 PM EDT,High electricity use,1,35213682.5,35213682.5,35213682.5
04/17/2020 10:27 AM EDT,High electricity use,5,1766542.52,8832712.6,2842878.4
04/13/2020 05:47 PM EDT,High electricity use,2,1350503.7000000002,2701007.4000000004,1543315.8
07/20/2020 06:08 PM EDT,High electricity use,1,49874261.7,49874261.7,49874261.7
04/10/2020 05:36 PM EDT,High electricity use,3,1596634.0,4789902.0,2066307.2
04/17/2020 10:28 AM EDT,High electricity use,2,2470560.95,4941121.9,3709526.4
04/14/2020 02:39 PM EDT,High electricity use,1,10781920.0,10781920.0,10781920.0
08/18/2020 04:17 PM EDT,High electricity use,1,1868411.2,1868411.2,1868411.2
04/29/2020 01:07 PM EDT,High electricity use,2,21536409.25,43072818.5,25517771.4
04/13/2020 01:12 PM EDT,High electricity use,1,12632077.0,12632077.0,12632077.0
04/17/2020 12:54 PM EDT,High electricity use,2,1901439.5,3802879.0,3038045.1
04/10/2020 05:34 PM EDT,High electricity use,3,3030765.8666666667,9092297.6,4288201.6
04/17/2020 12:54 PM EDT,Medium electricity use,1,433733.4,433733.4,433733.4
04/10/2020 05:35 PM EDT,High electricity use,6,3096001.766666667,18576010.6,8422180.8
08/18/2020 08:03 PM EDT,High electricity use,1,1770145.6,1770145.6,1770145.6
04/14/2020 02:38 PM EDT,High electricity use,4,1806961.075,7227844.3,2017856.8
04/10/2020 04:27 PM EDT,High electricity use,3,2373307.6,7119922.8,3981121.6
04/14/2020 02:37 PM EDT,High electricity use,4,2120830.95,8483323.8,3830993.6
04/17/2020 10:26 AM EDT,High electricity use,1,2380211.2,2380211.2,2380211.2
