payment_id,contract_id_,project_status,funding_category,date_funds_awarded_by_fed_state,record_count,total_amount,avg_amount,max_amount,min_amount
13010.0,1C50012,Less than 50% completed,Education,2009-04-01 00:00:00,12,42156.35999999999,3513.0299999999993,3513.03,3513.03
11675.0,NCLB017,Less than 50% completed,Education,2009-04-01 00:00:00,22,14414.400000000005,655.2000000000003,655.2,655.2
13829.0,7105781,Less than 50% completed,Education,2009-04-01 00:00:00,1760,432607.99999998685,245.79999999999254,245.8,245.8
13089.0,7000320,Less than 50% completed,Education,2009-04-01 00:00:00,72,257135.7599999996,3571.3299999999945,3571.33,3571.33
9223.0,9010793,Less than 50% completed,Infrastructure,2009-03-18 00:00:00,192,6665345.279999983,34715.33999999991,34715.34,34715.34
10531.0,7105781,Less than 50% completed,Education,2009-04-01 00:00:00,1760,616704.0000000205,350.40000000001163,350.4,350.4
11424.0,NCLB014,Less than 50% completed,Education,2009-04-01 00:00:00,12,100372.32,8364.36,8364.36,8364.36
3540.0,9010793,Less than 50% completed,Infrastructure,2009-03-18 00:00:00,192,4493491.200000007,23403.600000000035,23403.6,23403.6
13309.0,7000605,Less than 50% completed,Education,2009-04-01 00:00:00,6,5067.6,844.6,844.6,844.6
10149.0,7000588,Less than 50% completed,Education,2009-04-01 00:00:00,8,3876.0,484.5,484.5,484.5
10918.0,B058812,Less than 50% completed,Education,2009-04-01 00:00:00,80,41036.799999999945,512.9599999999994,512.96,512.96
