applicationdate,permitteecompany,permittodate,make,applicationtypename,industrytypename,category,count,avg_value,total_value,max_value
2015-09-09 10:56:58,,2016-03-31 00:00:00,Mack,Renewal,Construction,Heavy,1,72220.0,72220.0,72220.0
2015-08-08 13:21:57,,2016-07-31 00:00:00,MACK,Renewal,Cement,Heavy,1,64000.0,64000.0,64000.0
2014-07-08 15:28:15,,2015-08-31 00:00:00,Volvo White,Renewal,Other,Heavy,1,70000.0,70000.0,70000.0
2014-08-11 15:19:38,,2015-08-31 00:00:00,MACK,Renewal,Other,Heavy,1,78000.0,78000.0,78000.0
2014-09-15 09:51:29,,2015-09-30 00:00:00,AUTOCAR,Correction,Other,Heavy,1,73300.0,73300.0,73300.0
2015-04-06 15:24:34,,2016-04-30 00:00:00,MACK,Renewal,Other,Heavy,1,78000.0,78000.0,78000.0
2015-08-07 13:53:29,,2016-05-31 00:00:00,PETERBUILT,Renewal,Construction,Very Heavy,1,120000.0,120000.0,120000.0
2014-12-12 14:53:29,,2015-12-31 00:00:00,Freightliner,Renewal,Other,Heavy,1,64000.0,64000.0,64000.0
2014-11-26 20:06:14,,2015-11-30 00:00:00,PETERBILT,Renewal,Construction,Very Heavy,1,120000.0,120000.0,120000.0
2015-06-30 14:53:52,,2016-06-30 00:00:00,Mack,Renewal,Construction,Heavy,1,78980.0,78980.0,78980.0
2015-04-07 10:38:08,,2016-04-30 00:00:00,MACK,Renewal,Construction,Heavy,1,79000.0,79000.0,79000.0
2015-05-29 09:09:16,,2016-06-30 00:00:00,Mack,Renewal,Construction,Very Heavy,2,120000.0,240000.0,120000.0
