comparable_rental_1_neighborhood,brooklyn_condominiums_comparable_properties_neighborhood,comparable_rental_1_distance_from_condo_in_miles,comparable_rental_2_distance_from_condo_in_miles,total_count,total_amount
PARK SLOPE SOUTH,PARK SLOPE SOUTH,0.25,0.15,1,25.75
BROOKLYN HEIGHTS,COBBLE HILL-WEST,0.56,0.83,1,19.44
CLINTON HILL,CLINTON HILL,0.66,0.38,1,28.88
DOWNTOWN-FULTON MALL,WILLIAMSBURG-NORTH,2.45,0.99,1,22.74
CROWN HEIGHTS,BRIGHTON BEACH,6.64,2.36,1,19.53
MIDWOOD,MIDWOOD,0.21,2.69,1,19.53
WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,0.25,0.27,1,18.83
WILLIAMSBURG-EAST,WILLIAMSBURG-CENTRAL,0.42,0.28,1,20.75
PARK SLOPE,PARK SLOPE,0.51,0.59,1,21.46
CROWN HEIGHTS,CROWN HEIGHTS,0.92,0.06,1,12.44
CROWN HEIGHTS,BOROUGH PARK,3.69,2.72,1,14.78
WILLIAMSBURG-CENTRAL,WILLIAMSBURG-CENTRAL,0.53,0.77,1,18.75
BENSONHURST,BENSONHURST,0.46,0.58,1,19.23
CLINTON HILL,CLINTON HILL,0.88,0.46,1,20.7
WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,0.09,0.11,1,17.94
MIDWOOD,MIDWOOD,1.2,0.2,1,17.29
WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,0.11,0.13,1,21.83
MADISON,MADISON,0.17,0.15,1,17.5
WILLIAMSBURG-SOUTH,BEDFORD STUYVESANT,0.95,1.0,1,20.7
BOROUGH PARK,BOROUGH PARK,1.54,1.4,1,17.1
SHEEPSHEAD BAY,BRIGHTON BEACH,1.06,0.06,1,19.53
WILLIAMSBURG-SOUTH,BEDFORD STUYVESANT,0.82,0.82,1,20.7
BEDFORD STUYVESANT,CROWN HEIGHTS,1.36,1.43,1,15.42
COBBLE HILL,BROOKLYN HEIGHTS,0.11,0.14,1,23.76
PROSPECT HEIGHTS,PROSPECT HEIGHTS,0.0,0.06,1,27.57
BENSONHURST,GRAVESEND,0.62,2.36,1,18.32
FORT GREENE,PARK SLOPE,0.55,0.63,1,22.01
FLATBUSH-CENTRAL,BRIGHTON BEACH,5.08,6.59,1,23.5
SHEEPSHEAD BAY,SHEEPSHEAD BAY,0.7,0.36,1,17.29
GREENPOINT,GREENPOINT,0.15,0.7,1,21.96
FORT GREENE,COBBLE HILL-WEST,1.18,1.56,1,15.99
WILLIAMSBURG-SOUTH,WILLIAMSBURG-EAST,0.73,0.73,1,21.45
WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,0.68,0.68,2,41.4
FLATBUSH-CENTRAL,MILL BASIN,3.63,4.38,1,25.12
