tolatitude,geoboroughname,segmentstatus,bctsnum,onstreet,total_speed_reducers_proposed
40.759672,Queens,False,DOT-666700-B6G3,31 STREET,
40.712997,Queens,False,DOT-649637-W9T8,ASCAN AVENUE,
40.6311034440044,Brooklyn,False,DOT-257912-Z8Z3,SHORE PARKWAY,
40.653777,Brooklyn,False,DOT-665077-Z8X6,LENOX ROAD,
40.500208,Staten Island,False,DOT-652108-W9N0,LORETTO STREET,
40.768639,Queens,False,322147-L0J1,77 STREET,
40.620431,Staten Island,,DOT-666293-G8F1,FRONT STREET,
40.613341,Brooklyn,False,DOT-650736-R1K2,14 AVENUE,
40.663448,Brooklyn,,DOT-600409-S9X0,STERLING STREET,
40.77926,Queens,False,DOT-651721-Q9L3,WEST DRIVE,
40.765227,Queens,False,DOT-665157-G4N9,30 DRIVE,
40.678266,Queens,True,DOT-656751-T4W0,84 STREET,1.0
40.729715,Queens,False,DOT-649859-B4N5,57 AVENUE,
40.639672,Brooklyn,False,DOT-674253-V4G0,EAST 16 STREET,
40.551907,Staten Island,False,DOT-649453-K3V8,MIMOSA LANE,
40.612734,Brooklyn,False,DOT-650736-R1K2,14 AVENUE,
40.873346,Bronx,False,DOT-653927-S8P0,GIVAN AVENUE,
40.656596,Queens,False,DOT-628800-D4Y6,249 STREET,
40.572334,Staten Island,False,DOT-527550-V3S5,RICHMOND ROAD,
40.71538,Queens,False,06-1907,RUSSELL PLACE,
40.550778,Staten Island,False,DOT-524776-Q5G3,ROLLING HILL GREEN,
40.743338,Queens,False,DOT-666403-F5C3,43 AVENUE,
40.676405,Brooklyn,False,DOT-625932-X5S8,GRAND AVENUE,
40.616984,Staten Island,False,DOT-635468-K7T8,WATERS AVENUE,
40.752549,Queens,False,DOT-659718-Q4P5,66 AVENUE,
40.633437,Brooklyn,False,DOT-587110-D2K8,SHORE PARKWAY SERVICE ROAD NORTH,
40.813172,Bronx,False,DOT-654249-N3R8,LELAND AVENUE,
40.587619,Brooklyn,False,DOT-667122-J4P8,VOORHEES AVENUE,
40.736528,Queens,False,DOT-673794-S4L2,65 AVENUE,
40.64054,Brooklyn,False,DOT-623940-G0S7,35 STREET,
40.770247,Queens,False,DOT-651749-N1B6,32 AVENUE,
40.717404,Queens,False,DOT-666835-G5Z1,204 STREET,
40.686452,Queens,False,DOT-665715-P4Q7,128 STREET,
40.590713,Staten Island,False,DOT-674828-J0H4,BENTON AVENUE,
40.675187,Queens,False,DOT-650471-V8C0,132 ROAD,
40.736399,Queens,False,DOT-631307-T6X8,GRAND CENT PARKWAY,
40.694211,Queens,False,DOT-646732-W5S8,85 ROAD,
40.727091,Manhattan,True,17369,EAST 12 STREET,1.0
40.547326,Staten Island,False,DOT-667526-C1W2,RICHMOND AVENUE,
40.612314,Staten Island,False,DOT-538033-C6B1,LIVERMORE AVENUE,
40.67264,Brooklyn,False,DOT-673858-M1R1,SAINT JOHNS PLACE,
40.734341,Queens,False,DOT-649660-X6X9,64 STREET,
40.668062,Queens,,DOT-611997-Q8S7,141 AVENUE,
40.698567,Queens,False,DOT-666407-N1F8,WOOD STREET,
40.685873,Queens,False,DOT-501893-F6H3,120 AVENUE,
40.59811,Staten Island,False,DOT-675605-G8Y2,MCCLEAN AVENUE,
40.768282,Queens,True,DOT-620881-X3Q4,201 STREET,1.0
40.749152,Queens,False,DOT-648604-G9H8,72 AVENUE,
40.771529,Queens,False,DOT-611622-B8S6,211 STREET,
40.629191,Staten Island,False,DOT-624162-X9S0,BARD AVENUE,
