fiscal_year,administrative_district_name,total,count,average
2020,OFFICE OF CHARTER SCHOOLS,2488,10,248.8
2020,,2451,10,245.1
2020,COMMUNITY SCHOOL DISTRICT 22,1260,4,315.0
2020,COMMUNITY SCHOOL DISTRICT 17,934,3,311.3333333333333
2020,COMMUNITY SCHOOL DISTRICT 15,921,3,307.0
2020,COMMUNITY SCHOOL DISTRICT 18,634,2,317.0
2020,COMMUNITY SCHOOL DISTRICT 23,632,2,316.0
2020,COMMUNITY SCHOOL DISTRICT 20,622,2,311.0
2020,COMMUNITY SCHOOL DISTRICT 01,309,3,103.0
2020,COMMUNITY SCHOOL DISTRICT 32,304,1,304.0
2020,COMMUNITY SCHOOL DISTRICT 13,302,1,302.0
2020,COMMUNITY SCHOOL DISTRICT 14,301,1,301.0
2020,COMMUNITY SCHOOL DISTRICT 06,224,2,112.0
2020,COMMUNITY SCHOOL DISTRICT 04,222,2,111.0
2020,COMMUNITY SCHOOL DISTRICT 03,217,2,108.5
2020,COMMUNITY SCHOOL DISTRICT 05,110,1,110.0
2020,CITYWIDE SPECIAL EDUCATION,108,1,108.0
2020,COMMUNITY SCHOOL DISTRICT 02,108,1,108.0
2020,ALTERNATIVE HIGH SCHOOL DISTRICT,105,1,105.0
