facname,latitude,longitude,facgroup,latitude,longitude,overlevel,factype,total_xcoord
HOLY CROSS SCHOOL,40.8168690627,-73.8605933877,SCHOOLS (K-12),40.8168690627,-73.8605933877,City,ELEMENTARY SCHOOL - NON-PUBLIC,1022837.00187
BROOKLYN CENTER FOR PSYCHOTHERAPY INC.,40.6780107005,-73.9734287511,HEALTH CARE,40.6780107005,-73.9734287511,State,OUTPATIENT MENTAL HEALTH,991620.127887
OFFICE BLDG,40.693609,-73.990862,"OFFICES, TRAINING, AND TESTING",40.693609,-73.990862,City,OFFICE,986784.035099
OUR LADY STAR OF THE SEA PRESCHOOL,40.5331895395,-74.1908047023,DAY CARE AND PRE-KINDERGARTEN,40.5331895395,-74.1908047023,City,SCHOOL BASED CHILD CARE - PRESCHOOL,931211.179126
"CHERRY LANE ALTERNATIVE, INC.",40.7312673084,-74.0053113255,CULTURAL INSTITUTIONS,40.7312673084,-74.0053113255,City,THEATER,982777.961974
P.S. 174 WILLIAM SIDNEY MOUNT,40.7204986232,-73.8606467212,SCHOOLS (K-12),40.7204986232,-73.8606467212,City,ELEMENTARY SCHOOL - PUBLIC,1022878.09539
MASBIA OF BORO PARK,0.0,0.0,HUMAN SERVICES,0.0,0.0,State,SOUP KITCHEN,0.0
SAFE SPACE PREVENTIVE,40.6860142872,-73.8273156838,CHILD SERVICES AND WELFARE,40.6860142872,-73.8273156838,City,SUMMER ONLY FEEDING SITE,1032142.06394
EMERSON PLAYGROUND,40.8728550589,-73.9305900174,CHILD SERVICES AND WELFARE,40.8728550589,-73.9305900174,City,SUMMER ONLY FEEDING SITE,1003446.15391
CHELSEA PARK,40.749941648,-74.0007282581,PARKS AND PLAZAS,40.749941648,-74.0007282581,City,PLAYGROUND,984048.219265
COMMUNITY ASSOCIATION OF PROGRESSIVE DOMINICIANS INC,40.8486044377,-73.9088552414,YOUTH SERVICES,40.8486044377,-73.9088552414,City,SUMMER YOUTH EMPLOYMENT PROGRAM (SYEP) (AGES 14-15),1009466.35533
LANGSTON HUGHES PLAYGROUND,40.8122108373,-73.9463814519,PARKS AND PLAZAS,40.8122108373,-73.9463814519,City,PLAYGROUND,999092.370439
SUNSHINE LEARNING CENTER,40.8149617726,-73.9087768364,DAY CARE AND PRE-KINDERGARTEN,40.8149617726,-73.9087768364,City,DAY CARE,1009500.81171
IC BUS INC.,40.6094004742,-74.1883371186,TRANSPORTATION,40.6094004742,-74.1883371186,City,SCHOOL BUS DEPOT,931956.799938
RAIL LINE,40.637549,-74.140502,TRANSPORTATION,40.637549,-74.140502,City,RAIL LINE,945255.011588
CARIBBEING,40.6415729416,-73.9536441401,CULTURAL INSTITUTIONS,40.6415729416,-73.9536441401,City,FILM/VIDEO/AUDIO,997114.855347
LIVING FAITH COM CHURCH VBS,40.7580924182,-73.7944357834,CHILD SERVICES AND WELFARE,40.7580924182,-73.7944357834,City,SUMMER ONLY FEEDING SITE,1041199.29631
BRONX TREATMENT CENTER,40.8121114662,-73.9050057302,HEALTH CARE,40.8121114662,-73.9050057302,State,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,1010545.78958
