dbn,school_name,phone_number,code1,attendance_rate,record_count,total_amount,avg_amount,max_amount,min_amount
31R047,CSI High School for International Studies,718-370-6900,R01R,0.949999988,1,0.949999988,0.949999988,0.949999988,0.949999988
31R605,Staten Island Technical High School,718-667-3222,NO CODE,0.970000029,2,1.940000058,0.970000029,0.970000029,0.970000029
03M417,Frank McCourt High School,212-362-2015,A21A,0.939999998,1,0.939999998,0.939999998,0.939999998,0.939999998
02M308,Lower Manhattan Arts Academy,212-505-0143,M05R,0.899999976,1,0.899999976,0.899999976,0.899999976,0.899999976
10X565,High School for Energy and Technology,718-733-3080,Y65A,0.860000014,1,0.860000014,0.860000014,0.860000014,0.860000014
02M260,"Clinton School Writers & Artists, M.S. 260",212-524-4360,M64A,0.970000029,1,0.970000029,0.970000029,0.970000029,0.970000029
09X276,Leadership Institute,718-299-7490,X06R,0.75,1,0.75,0.75,0.75,0.75
17K531,The School for Human Rights,718-771-4793,K04X,0.910000026,1,0.910000026,0.910000026,0.910000026,0.910000026
05M369,Urban Assembly School for the Performing Arts,212-543-4460,M04A,0.810000002,1,0.810000002,0.810000002,0.810000002,0.810000002
10X353,World View High School,718-601-0391,X89A,0.899999976,1,0.899999976,0.899999976,0.899999976,0.899999976
26Q415,Benjamin N. Cardozo High School,718-279-6500,Q16A,0.930000007,1,0.930000007,0.930000007,0.930000007,0.930000007
02M605,Humanities Preparatory Academy,212-929-4433,M99A,0.850000024,1,0.850000024,0.850000024,0.850000024,0.850000024
28Q505,Hillcrest High School,718-658-5407,Q24A,0.899999976,1,0.899999976,0.899999976,0.899999976,0.899999976
07X221,South Bronx Preparatory: A College Board School,718-292-2211,X11X,0.899999976,1,0.899999976,0.899999976,0.899999976,0.899999976
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-5671,Q31J,0.910000026,1,0.910000026,0.910000026,0.910000026,0.910000026
12X521,The Metropolitan Soundview High School,718-860-8240,Y55A,0.790000021,1,0.790000021,0.790000021,0.790000021,0.790000021
12X248,"Metropolitan High School, The",718-991-4634,X77R,0.829999983,1,0.829999983,0.829999983,0.829999983,0.829999983
10X546,Bronx Theatre High School,718-329-2902,X38A,0.810000002,1,0.810000002,0.810000002,0.810000002,0.810000002
29Q259,Pathways College Preparatory School: A College Board School,718-454-4957,Q09A,0.910000026,1,0.910000026,0.910000026,0.910000026,0.910000026
24Q520,Middle College High School at LaGuardia Community College,718-392-3330,Q30J,0.930000007,1,0.930000007,0.930000007,0.930000007,0.930000007
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1069,L53A,0.839999974,1,0.839999974,0.839999974,0.839999974,0.839999974
24Q296,Pan American International High School,718-271-3602,Q03A,0.899999976,1,0.899999976,0.899999976,0.899999976,0.899999976
