payment_id,total_contract_value,vendor_name,interim_spending_deadline
11675.0,54063900.0,THE CHILD CENTER OF NY,
3051.0,,P.C.Richard & Son,2011-03-17 00:00:00
4764.0,283500.0,Chinese American Planning Council,2010-06-30 00:00:00
10531.0,193600000000.0,INGRAM LIBRARY SERVS INC.,
12314.0,3507220.0,NYC OUTWARD BOUND CENTER,
16508.0,915171.0,Union Settlement Association,2010-09-30 00:00:00
2866.0,1560000.0,SCO Family of Services,2010-06-30 00:00:00
14872.0,4400000.0,"TEQUIPMENT, INCORPORATED",
3540.0,4236288000.0,P. C. Richards & Co.,2011-03-17 00:00:00
1735.0,1268919.0,SEBCO DEVELOPMENT INC,
9888.0,1000000.0,ACTION PRESS OF PARK SLOPE CORP.,
1298.0,655000.0,SIGMA CONTRACTING CORP,2011-03-17 00:00:00
10208.0,77000000.0,HOUGHTON MIFFLIN COMPANY,
10918.0,1040000000.0,B & H FOTO & ELECTRONICS CORP.,
1228.0,856975.0,Claddagh Electronics Ltd.,2011-03-17 00:00:00
13089.0,2160000.0,"SUSSMAN SALES COMPANY, INC.",
2897.0,438750.0,St. Nicholas Neighborhood Preservation Corporation,2010-06-30 00:00:00
6546.0,8650.0,S J Fuel Co. Inc.,
13309.0,150000.0,ROURKE PUBLISHING GROUP,
12366.0,625000.0,GOLDMANSOUR CONSULTATION,
12406.0,250000.0,COMMUNITY WORD PROJECT,
2861.0,1165450.0,Rockaway Development & Revitalization Corporation,2010-06-30 00:00:00
11424.0,35736948.0,"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",
2929.0,975000.0,Woodycrest Center For Human Development,2010-06-30 00:00:00
9223.0,4236288000.0,P. C. Richards & Co.,2011-03-17 00:00:00
13829.0,193600000000.0,INGRAM LIBRARY SERVS INC.,
13010.0,7302600.0,BARCLAY SCHOOL SUPPLIES,
10149.0,16000000.0,"SCHOLASTIC, INCORPORATED",
4638.0,194633.0,"Mosholu Montefiore Community Center, Inc.",2010-06-30 00:00:00
