programcity,monhouropen,tuehouropen,category,count,avg_value,total_value,max_value
BROOKLYN,,09:00:00,High ZIP,3,11239.0,33717,11239
BRONX,08:00:00,08:00:00,Standard ZIP,1,10454.0,10454,10454
BROOKLYN,,,High ZIP,4,11236.75,44947,11239
FLUSHING,,,High ZIP,2,11379.0,22758,11379
NEW YORK,,,Standard ZIP,1,10019.0,10019,10019
BROOKLYN,08:00:00,08:00:00,High ZIP,1,11235.0,11235,11235
FAR ROCKAWAY,08:00:00,08:00:00,Very High ZIP,2,11693.0,23386,11693
FAR ROCKAWAY,,,Very High ZIP,6,11691.0,70146,11691
BROOKLYN,09:00:00,09:00:00,High ZIP,5,11220.2,56101,11234
NEW YORK,07:00:00,07:00:00,Standard ZIP,1,10038.0,10038,10038
NEW YORK,09:00:00,09:00:00,Standard ZIP,6,10018.833333333334,60113,10039
BRONX,,,Standard ZIP,2,10454.0,20908,10454
NEW YORK,08:00:00,08:00:00,Standard ZIP,1,10019.0,10019,10019
BROOKLYN,08:00:00,09:00:00,High ZIP,1,11235.0,11235,11235
BRONX,09:00:00,09:00:00,Standard ZIP,2,10454.0,20908,10454
