violation_precinct,street_name,law_section,violation_description,category,count,avg_value,total_value,max_value
13,W 19th St,408,14-No Standing,older_vehicles,1,2006.0,2006,2006
71,Lefferts Ave,408,21-No Parking (street clean),mid_age_vehicles,1,2012.0,2012,2012
0,QUEENS BLVD (E/B) @,1111,BUS LANE VIOLATION,older_vehicles,3,2009.0,6027,2009
0,WB LINDEN BLVD @ ROC,1180,FAILURE TO STOP AT RED LIGHT,older_vehicles,10,2008.0,20080,2008
14,E 39th St,408,"64-No STD Ex Con/DPL, D/S Dec",mid_age_vehicles,1,2015.0,2015,2015
115,Roosevelt Ave,408,23-No Parking (taxi stand),older_vehicles,2,0.0,0,0
13,Madison Ave,408,69-Failure to Disp Muni Recpt,mid_age_vehicles,4,2015.0,8060,2015
1,6th Ave,408,14-No Standing,mid_age_vehicles,2,2013.0,4026,2013
24,Amsterdam Ave,408,31-No Stand (Com. Mtr. Zone),older_vehicles,2,0.0,0,0
19,E 93rd St,408,20A-No Parking (Non-COM),mid_age_vehicles,1,2014.0,2014,2014
23,Park Ave,408,21-No Parking (street clean),older_vehicles,1,2010.0,2010,2010
52,Dekalb Ave,408,21-No Parking (street clean),older_vehicles,3,2003.0,6009,2003
0,SB FLATBUSH AVE @ FL,1180,FAILURE TO STOP AT RED LIGHT,mid_age_vehicles,10,2015.0,20150,2015
120,Broad St,408,19-No Stand (bus stop),older_vehicles,2,0.0,0,0
14,W 39th St,408,31-No Stand (Com. Mtr. Zone),older_vehicles,1,0.0,0,0
68,4 AVE,408,,older_vehicles,1,0.0,0,0
114,Broadway,408,38-Failure to Display Muni Rec,mid_age_vehicles,3,2015.0,6045,2015
13,E 18th St,408,21-No Parking (street clean),mid_age_vehicles,1,2015.0,2015,2015
19,E 92nd St,408,20A-No Parking (Non-COM),older_vehicles,1,2004.0,2004,2004
0,CONEY ISLAND AVE (S/,1111,PHTO SCHOOL ZN SPEED VIOLATION,older_vehicles,29,2006.0,58174,2006
0,WB LINDEN BLVD @ ROC,1180,PHTO SCHOOL ZN SPEED VIOLATION,older_vehicles,29,2008.0,58232,2008
7,Broome St,408,37-Expired Muni Meter,older_vehicles,1,0.0,0,0
18,W 42nd St,408,19-No Stand (bus stop),older_vehicles,1,0.0,0,0
112,Eliot Ave,408,37-Expired Muni Meter,newer_vehicles,1,2016.0,2016,2016
13,5th Ave,408,38-Failure to Display Muni Rec,older_vehicles,5,2010.0,10050,2010
1,W Broadway,408,16-No Std (Com Veh) Com Plate,mid_age_vehicles,1,2014.0,2014,2014
0,HORACE HARDING EXPWY,1111,FAILURE TO STOP AT RED LIGHT,mid_age_vehicles,10,2014.0,20140,2014
0,SB KINGS HWY @ NEW Y,1180,PHTO SCHOOL ZN SPEED VIOLATION,newer_vehicles,29,2016.0,58464,2016
0,SB FLATBUSH AVE @ FL,1180,BUS LANE VIOLATION,mid_age_vehicles,3,2015.0,6045,2015
20,W 86th St,408,19-No Stand (bus stop),older_vehicles,1,2001.0,2001,2001
19,E 87th St,408,20A-No Parking (Non-COM),mid_age_vehicles,1,2012.0,2012,2012
0,SB KINGS HWY @ NEW Y,1180,BUS LANE VIOLATION,newer_vehicles,3,2016.0,6048,2016
18,Madison Ave,408,47-Double PKG-Midtown,newer_vehicles,4,2016.0,8064,2016
43,Westchester Ave,408,46A-Double Parking (Non-COM),older_vehicles,2,0.0,0,0
19,E 59th St,408,51-Sidewalk,newer_vehicles,2,2016.0,4032,2016
0,HORACE HARDING EXPWY,1111,PHTO SCHOOL ZN SPEED VIOLATION,mid_age_vehicles,29,2014.0,58406,2014
14,8th Ave,408,31-No Stand (Com. Mtr. Zone),older_vehicles,1,0.0,0,0
0,HORACE HARDING EXPWY,1111,BUS LANE VIOLATION,mid_age_vehicles,3,2014.0,6042,2014
68,5th Ave,408,37-Expired Muni Meter,older_vehicles,10,2005.0,20050,2005
72,61 ST,408,,older_vehicles,1,2003.0,2003,2003
107,Jewel Ave,408,14-No Standing,older_vehicles,1,0.0,0,0
0,QUEENS BLVD (E/B) @,1111,FAILURE TO STOP AT RED LIGHT,older_vehicles,10,2009.0,20090,2009
19,Lexington Ave,408,37-Expired Muni Meter,older_vehicles,3,2010.0,6030,2010
10,W 29th St,408,20-No Parking (Com Plate),newer_vehicles,1,2016.0,2016,2016
94,Manhattan Ave,408,37-Expired Muni Meter,older_vehicles,1,1999.0,1999,1999
114,Hoyt Ave South,408,37-Expired Muni Meter,newer_vehicles,1,2016.0,2016,2016
0,CONEY ISLAND AVE (S/,1111,FAILURE TO STOP AT RED LIGHT,older_vehicles,10,2006.0,20060,2006
0,SB FLATBUSH AVE @ FL,1180,PHTO SCHOOL ZN SPEED VIOLATION,mid_age_vehicles,29,2015.0,58435,2015
13,E 14th St,408,47-Double PKG-Midtown,mid_age_vehicles,2,2012.0,4024,2012
0,CONEY ISLAND AVE (S/,1111,BUS LANE VIOLATION,older_vehicles,3,2006.0,6018,2006
0,WB LINDEN BLVD @ ROC,1180,BUS LANE VIOLATION,older_vehicles,3,2008.0,6024,2008
70,Avenue M,408,50-Crosswalk,older_vehicles,2,2006.0,4012,2006
114,30th Ave,408,38-Failure to Display Muni Rec,older_vehicles,1,2006.0,2006,2006
18,Broadway,408,69-Failure to Disp Muni Recpt,mid_age_vehicles,3,2015.0,6045,2015
49,BARNES,408,,older_vehicles,2,0.0,0,0
1,Murray St,408,17-No Stand (exc auth veh),older_vehicles,1,0.0,0,0
19,E 93rd St,408,71-Insp. Sticker Missing (NYS,mid_age_vehicles,1,2014.0,2014,2014
0,SB KINGS HWY @ NEW Y,1180,FAILURE TO STOP AT RED LIGHT,newer_vehicles,10,2016.0,20160,2016
1,MERCER ST,408,,older_vehicles,1,2006.0,2006,2006
0,QUEENS BLVD (E/B) @,1111,PHTO SCHOOL ZN SPEED VIOLATION,older_vehicles,29,2009.0,58261,2009
84,ATLANTIC AVE,408,,older_vehicles,1,2005.0,2005,2005
14,9th Ave,408,45-Traffic Lane,older_vehicles,2,2006.0,4012,2006
70,BEDFORD AVE,408,,mid_age_vehicles,1,2015.0,2015,2015
19,E 87th St,408,71-Insp. Sticker Missing (NYS,mid_age_vehicles,1,2012.0,2012,2012
