queens_condominium_property_boro_block_lot,num_condo_records,queens_condominium_property_neighborhood,latitude,longitude,queens_condominium_property_boro_block_lot,latitude,longitude
4-04044-7501,1,COLLEGE POINT,40.784767,-73.85684,4-04044-7501,40.784767,-73.85684
4-01310-7501,1,ELMHURST,40.744073,-73.894052,4-01310-7501,40.744073,-73.894052
4-00416-7501,1,LONG ISLAND CITY,40.751705,-73.938134,4-00416-7501,40.751705,-73.938134
4-01910-7501,1,ELMHURST,40.734349,-73.865897,4-01910-7501,40.734349,-73.865897
4-05042-7501,1,FLUSHING-NORTH,40.7569,-73.830442,4-05042-7501,40.7569,-73.830442
4-04994-7504,1,FLUSHING-NORTH,40.765447,-73.827186,4-04994-7504,40.765447,-73.827186
4-09668-7501,1,BRIARWOOD,40.714545,-73.822668,4-09668-7501,40.714545,-73.822668
4-05024-7501,1,FLUSHING-NORTH,40.762372,-73.819332,4-05024-7501,40.762372,-73.819332
4-05294-7501,1,FLUSHING-NORTH,40.762573,-73.798033,4-05294-7501,40.762573,-73.798033
4-11440-7501,1,HOWARD BEACH,40.665531,-73.855885,4-11440-7501,40.665531,-73.855885
4-03100-7501,1,REGO PARK,40.726309,-73.859011,4-03100-7501,40.726309,-73.859011
4-05598-7501,1,FLUSHING-NORTH,40.742814,-73.793441,4-05598-7501,40.742814,-73.793441
4-01527-7501,1,ELMHURST,40.742806,-73.884112,4-01527-7501,40.742806,-73.884112
4-09651-7501,1,BRIARWOOD,40.709687,-73.819265,4-09651-7501,40.709687,-73.819265
4-01775-7501,1,CORONA,40.750796,-73.861656,4-01775-7501,40.750796,-73.861656
4-01307-7501,1,WOODSIDE,40.744133,-73.896823,4-01307-7501,40.744133,-73.896823
