project_start_date,total_all_counted_units
2025-04-22 00:00:00,19.0
2025-06-30 00:00:00,215.0
2024-09-19 00:00:00,338.0
2025-01-30 00:00:00,48.0
2024-09-05 00:00:00,14.0
2025-06-26 00:00:00,219.0
2025-05-29 00:00:00,8.0
2024-07-11 00:00:00,25.0
2024-08-27 00:00:00,11.0
2025-06-27 00:00:00,10.0
2024-12-30 00:00:00,12.0
2025-05-14 00:00:00,3.0
2025-04-25 00:00:00,119.0
2025-03-31 00:00:00,1641.0
2024-10-10 00:00:00,7.0
2024-12-20 00:00:00,36.0
2024-12-19 00:00:00,3210.0
2025-03-27 00:00:00,50.0
2024-10-07 00:00:00,43.0
2025-03-12 00:00:00,22.0
2024-12-23 00:00:00,11.0
2024-08-19 00:00:00,72.0
2025-06-13 00:00:00,9.0
2024-06-28 00:00:00,322.0
2025-01-01 00:00:00,56.0
2024-07-01 00:00:00,23.0
