program_name,site_id,t4_program_name,t3_site_id,total,count,average
P.S. 244 Richard R. Green,17K375,P.S. 244 Richard R. Green,17K375,4.3,4,4.3
P.S. 230 Doris L. Cohen,15K024,P.S. 230 Doris L. Cohen,15K024,4.2,2,4.2
The Maurice Sendak Community School,14K297,The Maurice Sendak Community School,14K297,3.3999999999999995,7,3.3999999999999995
Bushwick United HDFC 2,KBQF,Bushwick United HDFC 2,KBQF,2.9,4,2.9
P.S. 73 Bronx,08X392,P.S. 73 Bronx,08X392,2.3,1,2.3
Yeshiva Jesode Hatorah,31R056,Yeshiva Jesode Hatorah,31R056,2.3,1,2.3
"Al Madinah School, Inc.",KBWQ,"Al Madinah School, Inc.",KBWQ,2.1999999999999997,7,2.1999999999999997
ACE Early Childhood Center,KBKJ,ACE Early Childhood Center,KBKJ,2.1,7,2.1
P.S. 126 Jacob August Riis,02M126,P.S. 126 Jacob August Riis,02M126,2.1,1,2.1
