postcode,prevailing_wage_status,project_name,total,count,average
10469.0,Non Prevailing Wage,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2952,270,10.933333333333334
10303.0,Non Prevailing Wage,NORTH SHORE PLAZA.YR15.FY25,1524,72,21.166666666666668
10459.0,Non Prevailing Wage,WEST FARMS.HUDMF.FY25,276,2,138.0
11101.0,Non Prevailing Wage,23-10 42ND ROAD APARTMENTS,240,1,240.0
10002.0,Non Prevailing Wage,MASARYK TOWERS.HRP.FY25,219,1,219.0
10457.0,Non Prevailing Wage,CROTONA PARK WEST HDFC.HPO.FY24,179,7,25.571428571428573
10457.0,Non Prevailing Wage,UPS. 1806 ANTHONY AVE,111,1,111.0
10456.0,Non Prevailing Wage,CLAREMONT PARK APARTMENTS.YR15.FY25,98,1,98.0
10452.0,Non Prevailing Wage,130 EAST 165TH STREET APARTMENTS,75,1,75.0
11201.0,Non Prevailing Wage,131 CONCORD STREET APARTMENTS,73,1,73.0
11102.0,Non Prevailing Wage,21-07 ASTORIA BLVD APARTMENTS,68,1,68.0
10454.0,Non Prevailing Wage,TIMPSON PLACE HDFC.GHPP.FY25,64,2,32.0
11101.0,Non Prevailing Wage,37-42 30TH STREET,63,1,63.0
10027.0,Non Prevailing Wage,JERICHO HOUSE,56,1,56.0
11207.0,Non Prevailing Wage,180 PENNSYLVANIA AVE APARTMENTS,50,1,50.0
10027.0,Non Prevailing Wage,SALEM HOUSE.YR15.FY25,48,1,48.0
10468.0,Non Prevailing Wage,2769 CRESTON AVENUE,44,1,44.0
10457.0,Non Prevailing Wage,256 MT HOPE PLACE_HPS,42,1,42.0
11210.0,Non Prevailing Wage,1644 NEW YORK AVENUE,36,1,36.0
11101.0,Non Prevailing Wage,THE TRIO APARTMENTS,34,1,34.0
10303.0,Non Prevailing Wage,MORNINGSIDE HEIGHTS III. HPO.FY25,29,2,14.5
10025.0,Non Prevailing Wage,MORNINGSIDE HEIGHTS III. HPO.FY25,29,2,14.5
11691.0,Non Prevailing Wage,22-25 NEW HAVEN AVENUE APARTMENTS,26,1,26.0
10466.0,Non Prevailing Wage,633 EAST 230 STREET,25,1,25.0
10462.0,Non Prevailing Wage,2040 MCGRAW AVE APARTMENTS,24,1,24.0
11220.0,Non Prevailing Wage,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),18,3,6.0
11215.0,Non Prevailing Wage,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),18,3,6.0
11221.0,Non Prevailing Wage,B&R.YR15.FY25,17,3,5.666666666666667
10456.0,Non Prevailing Wage,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,16,2,8.0
11207.0,Non Prevailing Wage,NEW PENN DEVELOPMENT,12,3,4.0
11203.0,Non Prevailing Wage,153 EAST 51 STREET,9,1,9.0
10452.0,Non Prevailing Wage,1305 SHAKESPEARE AVENUE,8,1,8.0
11207.0,Non Prevailing Wage,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8,1,8.0
