t1_school_name,t1_fax_number,t3_school_name,t4_fax_number,boro,total,count,average
Columbia Secondary School,212-666-3805,Columbia Secondary School,212-666-3805,M,0.97,1,0.97
Central Park East High School,212-860-6043,Central Park East High School,212-860-6043,M,0.92,1,0.92
Millennium High School,212-825-9095,Millennium High School,212-825-9095,M,0.87,1,0.87
Jamaica Gateway to the Sciences,718-480-2697,Jamaica Gateway to the Sciences,718-480-2697,Q,0.82,1,0.82
Queens Metropolitan High School,718-286-3601,Queens Metropolitan High School,718-286-3601,Q,0.72,1,0.72
Urban Assembly Gateway School for Technology,212-246-2654,Urban Assembly Gateway School for Technology,212-246-2654,M,0.71,1,0.71
The School for Human Rights,718-771-4815,The School for Human Rights,718-771-4815,K,0.68,1,0.68
Eagle Academy for Young Men II,718-732-2129,Eagle Academy for Young Men II,718-732-2129,K,0.67,1,0.67
"The Marie Curie School for Medicine, Nursing, and Health Professions",718-796-7051,"The Marie Curie School for Medicine, Nursing, and Health Professions",718-796-7051,X,0.61,1,0.61
The Global Learning Collaborative,212-877-1138,The Global Learning Collaborative,212-877-1138,M,0.56,1,0.56
International High School at Lafayette,718-333-7861,International High School at Lafayette,718-333-7861,K,0.53,1,0.53
Williamsburg High School for Architecture and Design,718-486-2580,Williamsburg High School for Architecture and Design,718-486-2580,K,0.49,1,0.49
Validus Preparatory Academy,718-466-4001,Validus Preparatory Academy,718-466-4001,X,0.48,1,0.48
The Urban Assembly Bronx Academy of Letters,718-401-6626,The Urban Assembly Bronx Academy of Letters,718-401-6626,X,0.48,1,0.48
Richard R. Green High School of Teaching,646-826-8175,Richard R. Green High School of Teaching,646-826-8175,M,0.44,1,0.44
"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,K,0.42,1,0.42
 The American Sign Language and English Secondary School,917-326-6688, The American Sign Language and English Secondary School,917-326-6688,M,0.41,1,0.41
Kingsbridge International High School,718-329-8582,Kingsbridge International High School,718-329-8582,X,0.37,1,0.37
Crotona International High School,718-561-8707,Crotona International High School,718-561-8707,X,0.32,1,0.32
Frederick Douglass Academy VI High School,718-471-2890,Frederick Douglass Academy VI High School,718-471-2890,Q,0.24,1,0.24
