filing_type,current_status,total,count,average
Auto-Generated,SAFE,446900.0,28,15960.714285714286
Auto-Generated,SWARMP,377500.0,17,22205.882352941175
Auto-Generated,No Report Filed,112000.0,2,56000.0
Auto-Generated,UNSAFE,71600.0,9,7955.555555555556
Initial,SAFE,47450.0,3,15816.666666666666
Amended,UNSAFE,26000.0,2,13000.0
