languages_offered,oversight_agency,total,count,average
"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",New York Public Library (NYPL),2000.0,2,1000.0
Spanish,NYC Aging,692.1,3,230.70000000000002
"Spanish,Chinese Traditional,Russian,Bengali,Creole,Korean,Arabic,French,Polish",NYC Aging,420.2,1,420.2
"Spanish,Chinese,Russian,Bengali,Korean,Arabic,French,Polish",NYC Aging,416.6,1,416.6
All languages through Language Line,Brooklyn Public Library (BPL),200.0,2,100.0
Interpreters available upon request,NYC Parks & Recreation,103.6,1,103.6
Russian,NYC Aging,97.5,1,97.5
,NYC Aging,94.1,1,94.1
"Chinese,Spanish",NYC Aging,92.4,1,92.4
"Chinese,Russian",NYC Aging,92.1,1,92.1
"Spanish,Chinese,Russian,Bengali,Korean,Arabic,Urdu,French",NYC Aging,91.0,1,91.0
All languages through Language Line,Queens Public Library (QPL),48.8,2,24.4
"Spanish,Chinese,Korean",NYC Aging,24.3,1,24.3
,Department of Youth and Community Development (DYCD),10.4,3,3.466666666666667
