building_location,total_ycoordinate
North side of East 48th Street between Third and Lexington Avenues,214395
South side of East 39th Street between Second and Third Avenues,211868
Full blockfront on west side of Broadway between West 70th and 71st Streets,222650
Northwest corner of Third Avenue and East 96th Street,225537
Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,214729
South side of East 42nd Street between Second and Third Avenues,212562
Southeast corner of East 24th Street and Third Avenue,208569
Southwest corner of West 16th Street Fifth Avenue,207891
Southeast corner of Second Avenue and East 62nd Street,216970
Northwest corner of Third Avenue and East 84th Street,222681
Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,212982
South side of East 47th Street between Second and Third Avenues,213715
Southeast corner of Park Avenue and East 71st Street,219844
West side of Broadway between West 50th and 51st Streets,216933
"South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",218665
"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",210278
Northwest corner of First Avenue and East 83rd Street,221761
West side of Sixth Avenue between West 47th and 48th Streets,215679
