reporting_year,total_dimension1,average_dimension2
2020,22,2.2
2016,7,1.1666666666666667
2024,21,1.5
2021,16,1.2307692307692308
2018,3,1.0
2025,9,1.0
2015,27,1.08
2023,14,1.1666666666666667
2019,7,1.4
2017,5,1.0
2022,25,1.1363636363636365
