bin,legalname,legalname,bin,total_dimension1,average_dimension2
4051191,CREATIVE DISCOVERY PRE-SCHOOL INC,CREATIVE DISCOVERY PRE-SCHOOL INC,4051191,100.0,16.6667
3153095,STEPPING STONES 86 LLC,STEPPING STONES 86 LLC,3153095,0.0,0.0
3000000,PROSPECT PARK YESHIVA,PROSPECT PARK YESHIVA,3000000,200.0,100.0
3084621,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,3084621,50.0,0.0
4113039,JOY DAYCARE INC.,JOY DAYCARE INC.,4113039,50.0,25.0
4119270,"SY SEIT, LLC","SY SEIT, LLC",4119270,900.0,16.666699999999995
4175963,OUR LITTLE ANGELS CORP,OUR LITTLE ANGELS CORP,4175963,133.3332,16.6667
5048033,WE R EXPLORERS LLC,WE R EXPLORERS LLC,5048033,0.0,0.0
4049428,JHELC INC.,JHELC INC.,4049428,0.0,0.0
1084087,"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC","URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",1084087,80.0,0.0
5089719,THE CHILD STUDY CENTER OF NEW YORK,THE CHILD STUDY CENTER OF NEW YORK,5089719,0.0,0.0
1087340,"TUTOR TIME LEARNING CENTERS,LLC","TUTOR TIME LEARNING CENTERS,LLC",1087340,200.0,0.0
1083583,THE HUDSON GUILD,THE HUDSON GUILD,1083583,0.0,0.0
1017811,BEGINNINGS NURSERY SCHOOL,BEGINNINGS NURSERY SCHOOL,1017811,40.0,0.0
2028943,ST. HELENA SCHOOL,ST. HELENA SCHOOL,2028943,115200.0,0.0
2000540,"NEW YORK CHILD RESOURCE CENTER, INC.","NEW YORK CHILD RESOURCE CENTER, INC.",2000540,25.0,0.0
1012047,PERRY KIDS INC.,PERRY KIDS INC.,1012047,150.0,25.0
2059823,"OUR CHILDREN FIRST, INC","OUR CHILDREN FIRST, INC",2059823,160.0,20.0
4147804,ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),4147804,240.0,40.0
2093518,"NORTHEAST BRONX DAY CARE CENTER,INC.","NORTHEAST BRONX DAY CARE CENTER,INC.",2093518,80.0,20.0
3107217,Gan Yisroel of Crown Heights,Gan Yisroel of Crown Heights,3107217,50.0,25.0
1019603,"CHABAD OF GRAMERCY PARK, INC.","CHABAD OF GRAMERCY PARK, INC.",1019603,66.6668,16.6667
3135866,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,3135866,0.0,0.0
3115676,HAWTHORNE CORNERS DAY CARE CENTER INC.,HAWTHORNE CORNERS DAY CARE CENTER INC.,3115676,200.0,0.0
2098220,SUNSHINE DAY CARE OF MOTT HAVEN,SUNSHINE DAY CARE OF MOTT HAVEN,2098220,0.0,0.0
2126993,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,2126993,266.6668,33.3333
4143650,IRAS BRIARWOOD DAY CARE AND PRESCHOOL INC.,IRAS BRIARWOOD DAY CARE AND PRESCHOOL INC.,4143650,0.0,0.0
2088565,BRONX STARBRIGHT INC.,BRONX STARBRIGHT INC.,2088565,50.0,0.0
2011053,"URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.","URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",2011053,,
1087340,TUTOR TIME LEARNING CENTERS LLC,TUTOR TIME LEARNING CENTERS LLC,1087340,0.0,0.0
4192996,Kochavim Ktanim Child Care Inc,Kochavim Ktanim Child Care Inc,4192996,50.0,0.0
3019195,"PNW ENTERPRISES, LLC","PNW ENTERPRISES, LLC",3019195,33.3334,0.0
4595432,JACKSON CHILD DEVELOPMENT CENTER,JACKSON CHILD DEVELOPMENT CENTER,4595432,1440.0,0.0
3321834,Sunshine Center of Coney Island LLC,Sunshine Center of Coney Island LLC,3321834,25.0,0.0
3000000,SHINING SMILES DAYCARE 1 INC,SHINING SMILES DAYCARE 1 INC,3000000,66.6666,0.0
1090264,BRIGHT HORIZONS CHILDREN'S CENTER LLC,BRIGHT HORIZONS CHILDREN'S CENTER LLC,1090264,42.8571,0.0
4000000,THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,4000000,2133.3344,33.3333
4461930,BSDC INC,BSDC INC,4461930,0.0,0.0
2098317,"3467 READY, SET, LEARN, L L C","3467 READY, SET, LEARN, L L C",2098317,,
3336446,HEARTSHARE HUMAN SERVICES OF NEW YORK,HEARTSHARE HUMAN SERVICES OF NEW YORK,3336446,100.0,25.0
4231222,"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",4231222,150.0,0.0
1050057,ASSOCIATION TO BENEFIT CHILDREN,ASSOCIATION TO BENEFIT CHILDREN,1050057,100.0,25.0
4182252,"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.","PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",4182252,0.0,0.0
2094178,"NORTHEAST BRONX DAY CARE CENTER, INC.","NORTHEAST BRONX DAY CARE CENTER, INC.",2094178,133.3334,0.0
3081140,NYC Early Learning Company Inc,NYC Early Learning Company Inc,3081140,20.0,20.0
3141674,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,3141674,533.3328,33.3333
1055804,"BILINGUAL NEST, LLC","BILINGUAL NEST, LLC",1055804,16.6667,0.0
4258993,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,4258993,200.0,0.0
4056772,"BOOKS & RATTLES, INC.","BOOKS & RATTLES, INC.",4056772,100.0,0.0
3170485,UNITED LUBAVITCHER YESIVOTH,UNITED LUBAVITCHER YESIVOTH,3170485,400.0,100.0
