queens_cooperatives_comparable_properties_boro_block_lot,postcode,queens_cooperatives_comparable_properties_full_market_value,nta,queens_cooperatives_comparable_properties_market_value_per_sqft,bin,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_building_classification
4-08178-0008,11362.0,4690000,Douglas Manor-Douglaston-Little Neck                                       ,41.4,4170057.0,11.75,D4-ELEVATOR
4-03154-0001,11374.0,7220000,Forest Hills                                                               ,63.0,4074614.0,15.4,D4-ELEVATOR
4-02266-0100,11375.0,1170000,Forest Hills                                                               ,48.8,4052786.0,13.0,D4-ELEVATOR
4-11434-0007,11414.0,6210000,Lindenwood-Howard Beach                                                    ,41.7,4434846.0,11.82,D4-ELEVATOR
4-05146-0027,11355.0,3760000,Flushing                                                                   ,48.3,4116426.0,12.85,D4-ELEVATOR
4-05122-0046,11355.0,7990000,Flushing                                                                   ,46.6,4115401.0,12.4,D4-ELEVATOR
4-09824-0043,11432.0,2460000,Jamaica                                                                    ,41.6,4210164.0,11.8,D4-ELEVATOR
4-05025-0020,11354.0,4390000,Murray Hill                                                                ,51.0,4113841.0,13.5,D4-ELEVATOR
4-05878-0003,11360.0,23500000,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,4443729.0,14.57,D4-ELEVATOR
4-02874-0002,11373.0,5240000,Rego Park                                                                  ,55.0,4065242.0,14.0,D4-ELEVATOR
4-02874-0055,11373.0,3210000,Rego Park                                                                  ,56.0,4065248.0,14.0,D4-ELEVATOR
4-00579-0042,11106.0,798000,Astoria                                                                    ,47.5,4007112.0,12.64,D4-ELEVATOR
4-01946-0001,11368.0,11300000,Corona                                                                     ,48.0,4431751.0,12.75,D4-ELEVATOR
4-16230-0044,11694.0,2290000,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,56.0,4304908.0,14.04,D4-ELEVATOR
