ntacode,provider,type,total,count,average
SI36,SPECTRUM,Limited Free,150.0,3,50.0
BK73,LinkNYC - Citybridge,Free,68.0,2,34.0
BK82,BPL,Free,42.0,1,42.0
BK95,LinkNYC - Citybridge,Free,40.0,1,40.0
BK37,LinkNYC - Citybridge,Free,39.0,1,39.0
BK99,ALTICEUSA,Limited Free,39.0,1,39.0
BK37,BPL,Free,39.0,1,39.0
BK32,LinkNYC - Citybridge,Free,38.0,1,38.0
BK90,LinkNYC - Citybridge,Free,34.0,1,34.0
BK38,Downtown Brooklyn,Free,33.0,1,33.0
QN10,SPECTRUM,Limited Free,32.0,1,32.0
QN54,SPECTRUM,Limited Free,28.0,1,28.0
QN61,Transit Wireless,Free,27.0,1,27.0
MN09,LinkNYC - Citybridge,Free,27.0,4,6.75
QN68,LinkNYC - Citybridge,Free,26.0,1,26.0
MN12,LinkNYC - Citybridge,Free,19.0,3,6.333333333333333
BX34,LinkNYC - Citybridge,Free,17.0,1,17.0
BX99,ALTICEUSA,Limited Free,16.0,1,16.0
MN40,LinkNYC - Citybridge,Free,12.0,3,4.0
MN35,Transit Wireless,Free,10.0,1,10.0
MN11,LinkNYC - Citybridge,Free,9.0,1,9.0
MN34,AT&T,Free,9.0,1,9.0
MN03,Harlem,Free,9.0,1,9.0
MN11,Harlem,Free,9.0,1,9.0
MN34,Transit Wireless,Free,8.0,1,8.0
BX39,LinkNYC - Citybridge,Free,8.0,1,8.0
MN17,LinkNYC - Citybridge,Free,8.0,2,4.0
MN34,LinkNYC - Citybridge,Free,8.0,1,8.0
MN14,SPECTRUM,Limited Free,6.0,1,6.0
MN15,LinkNYC - Citybridge,Free,6.0,2,3.0
MN17,Transit Wireless,Free,4.0,1,4.0
MN20,LinkNYC - Citybridge,Free,4.0,2,2.0
MN19,LinkNYC - Citybridge,Free,4.0,1,4.0
MN13,Chelsea,Free,3.0,1,3.0
MN13,NYPL,Free,3.0,1,3.0
MN21,LinkNYC - Citybridge,Free,2.0,1,2.0
MN25,Manhattan Down Alliance,Free,1.0,1,1.0
MN24,NYPL,Free,1.0,1,1.0
MN24,LinkNYC - Citybridge,Free,1.0,1,1.0
