bin,total_units
3022083,1.0
3429787,
1005242,
3002485,
3007367,
3324866,
1084788,28.0
4029133,
1054466,
1010929,
3048776,
3430162,
3097599,
2019019,
1058710,
3429413,
4466645,
3110734,
3073912,
1018002,
1015658,
4617831,2.0
1055806,
2004751,
1020421,
2120254,3.0
3079250,
4156719,2.0
3114090,
3429097,
3254181,
1011016,1.0
5177065,
5176136,2.0
3341846,
1062610,
3326183,
4275048,
2005024,
1091691,224.0
3066720,
1040033,
3426234,
4623771,3.0
4624865,2.0
1080794,
2130524,
4106387,2.0
3429512,
