house_no,filing_count,block,block,filing_type,failure_to_file_amt,owner_city,late_filing_amt,current_status
3-10,1,490,490,Auto-Generated,0.0,,0.0,SWARMP
59,1,1262,1262,Amended,5000.0,NEW YORK,26000.0,UNSAFE
3,1,1721,1721,Auto-Generated,25000.0,,62500.0,SAFE
225,1,1152,1152,Auto-Generated,0.0,,9000.0,SAFE
1648,1,1022,1022,Auto-Generated,0.0,,10250.0,SWARMP
20,1,6100,6100,Auto-Generated,0.0,,11000.0,SAFE
120,1,1412,1412,Auto-Generated,15000.0,,50000.0,SAFE
217,1,1029,1029,Auto-Generated,0.0,,0.0,No Report Filed
210,1,1649,1649,Auto-Generated,0.0,,0.0,SAFE
162,1,2290,2290,Auto-Generated,10000.0,,24000.0,SWARMP
919,1,1011,1011,Auto-Generated,0.0,,4000.0,UNSAFE
2857,1,3253,3253,Auto-Generated,5000.0,,12000.0,SAFE
137-07,1,4959,4959,Auto-Generated,1000.0,,17000.0,SAFE
355,2,740,740,Initial,0.0,NEW YORK,3750.0,SAFE
270,1,869,869,Auto-Generated,1000.0,,5000.0,SAFE
735,4,2639,2639,Auto-Generated,0.0,,0.0,UNSAFE
2515,1,4428,4428,Auto-Generated,12000.0,,26500.0,SWARMP
1105,1,2505,2505,Auto-Generated,0.0,,4650.0,SAFE
1435,1,3886,3886,Auto-Generated,0.0,,0.0,SAFE
162,1,2290,2290,Auto-Generated,10000.0,,3000.0,SAFE
222,1,1527,1527,Auto-Generated,1000.0,,11250.0,SWARMP
840,1,1855,1855,Auto-Generated,0.0,,3000.0,SAFE
122,1,208,208,Auto-Generated,5000.0,,17000.0,SWARMP
400,1,1066,1066,Auto-Generated,39000.0,,90900.0,SWARMP
3299,1,5785,5785,Auto-Generated,1000.0,,9000.0,SAFE
108,1,809,809,Auto-Generated,7000.0,,6250.0,SAFE
3980,1,3252,3252,Auto-Generated,5000.0,,16000.0,SWARMP
217,1,1029,1029,Auto-Generated,0.0,,21000.0,SAFE
108,1,809,809,Auto-Generated,7000.0,,33350.0,SWARMP
322,1,1349,1349,Amended,0.0,NEW YORK,0.0,UNSAFE
117,1,1210,1210,Auto-Generated,11000.0,,28000.0,SWARMP
1925,1,15810,15810,Auto-Generated,5000.0,,23000.0,UNSAFE
303,1,699,699,Auto-Generated,0.0,,1000.0,SAFE
155,1,797,797,Auto-Generated,0.0,,7250.0,SAFE
400,1,1066,1066,Auto-Generated,39000.0,,4500.0,SWARMP
120,1,1412,1412,Auto-Generated,15000.0,,45000.0,SWARMP
3764,1,4649,4649,Auto-Generated,7000.0,,27000.0,SAFE
44,1,851,851,Auto-Generated,5000.0,,7250.0,SWARMP
18,1,1849,1849,Auto-Generated,6000.0,,20750.0,SAFE
330,1,757,757,Auto-Generated,0.0,,12750.0,SAFE
780,1,3112,3112,Auto-Generated,5000.0,,51500.0,SAFE
160,1,3315,3315,Auto-Generated,5000.0,,18000.0,SAFE
556,1,1982,1982,Initial,10000.0,NEW YORK,39950.0,SAFE
155,1,797,797,Auto-Generated,0.0,,6000.0,SAFE
2835,1,3250,3250,Auto-Generated,5000.0,,24600.0,UNSAFE
228,1,1162,1162,Initial,0.0,NEW YORK,0.0,SWARMP
1240,1,2465,2465,Auto-Generated,1000.0,,15000.0,SAFE
109,1,3709,3709,Amended,0.0,NEW YORK,0.0,SAFE
406,1,1456,1456,Auto-Generated,0.0,,6000.0,SAFE
29,1,3078,3078,Auto-Generated,3000.0,,12000.0,UNSAFE
411,1,1131,1131,Auto-Generated,5000.0,,50500.0,SAFE
950,1,2703,2703,Auto-Generated,5000.0,,14500.0,SWARMP
3980,1,3252,3252,Auto-Generated,5000.0,,16000.0,SAFE
207,1,5287,5287,Auto-Generated,12000.0,,34750.0,SWARMP
136-16,1,4960,4960,Auto-Generated,112000.0,,112000.0,No Report Filed
186,1,265,265,Auto-Generated,0.0,,9250.0,SWARMP
2350,1,1233,1233,Auto-Generated,1000.0,,8000.0,UNSAFE
1240,1,2465,2465,Auto-Generated,1000.0,,1750.0,SAFE
160,1,3315,3315,Auto-Generated,5000.0,,5000.0,SWARMP
