senior_care_community_living,last_modified_date_water,_2nd_largest_property_use,water_score_multifamily_only,water_use_intensity_all_water,source_energy_use_adjusted,weather_normalized_site_energy,last_modified_date_electric
,02/13/2018 12:30 PM EST,Parking,,51.65,,118682310.8,02/20/2018 09:53 AM EST
,02/13/2018 11:53 AM EST,Retail Store,,77.87,33610279.6,23291146.7,03/22/2018 04:25 PM EDT
,03/06/2018 09:37 AM EST,Retail Store,,36.16,,10368470300.0,03/06/2018 09:26 AM EST
,02/13/2018 12:18 PM EST,Retail Store,,13.01,23277606.3,8952952.0,03/29/2018 12:23 PM EDT
,04/03/2018 09:38 AM EDT,Manufacturing/Industrial Plant,,9.62,,8385378.0,03/15/2018 03:41 PM EDT
,03/29/2018 09:30 AM EDT,Manufacturing/Industrial Plant,,9.62,,8385378.0,03/15/2018 03:41 PM EDT
,02/13/2018 12:04 PM EST,Convenience Store without Gas Station,,22.35,65485166.6,25533635.8,03/20/2018 10:24 AM EDT
,03/22/2018 03:55 PM EDT,Other - Restaurant/Bar,,12.0,53536325.3,22606543.2,03/20/2018 02:28 PM EDT
,04/04/2018 11:33 AM EDT,Restaurant,,37.59,,,04/04/2018 11:14 AM EDT
,03/07/2018 07:09 PM EST,Restaurant,,19.59,170333395.3,,03/07/2018 07:09 PM EST
,03/13/2018 10:38 AM EDT,Medical Office,,90.95,,12060483.3,03/05/2018 09:05 AM EST
,02/22/2018 11:37 AM EST,,,135.24,,4993565.3,03/12/2018 03:13 PM EDT
,02/13/2018 12:00 PM EST,,,107.85,15395788.7,9497943.3,03/12/2018 10:09 AM EDT
,03/13/2018 10:40 AM EDT,,,97.0,14303773.9,10872733.8,03/08/2018 09:24 AM EST
,02/16/2018 02:56 PM EST,Bank Branch,,13.8,170180909.2,88122389.2,02/19/2018 01:45 PM EST
,02/16/2018 02:56 PM EST,Bank Branch,,13.8,170180909.2,88122389.2,02/19/2018 01:45 PM EST
,02/16/2018 02:56 PM EST,Bank Branch,,13.8,170180909.2,88122389.2,02/19/2018 01:45 PM EST
