project_name,total_mih_option1
91 & 95 Westentry Road,0
"SD SS Arbutus Avenue (Block 6517, Lot 70)",0
1841 Broadway,0
SS 34 Woodvale Avenue,0
SD 243 Robinson Avenue,0
1100 Myrtle Avenue FRESH,0
600 Metropolitan Avenue,0
SS Woodvale Avenue,0
SS Holten Avenue,0
SS 6257 Amboy Road,0
Innovation QNS Rezoning and LSGD,1
712 Fifth Avenue,0
420 Kent Avenue Waterfront Compliance,0
SD SS 128 Johnson Avenue,0
58 Buttonwood Road,0
870 - 888 Atlantic Avenue Rezoning,1
SS 436 Sinclair Avenue,0
86 Fleet Place - ZR,0
