business_name,issuance,lic_status,cb,category,count,avg_value,total_value,max_value
SOUTH LAKE HOSPITALITY GROUP INC.,Pending Review,Inactive,Review Period Expired,medium seating,1,19.0,19,19
HONEYBRAINS LAFAYETTE LLC,Pending Review,Inactive,Review Period Expired,medium seating,1,19.0,19,19
PQ 933 BROADWAY INC.,Pending Review,Inactive,Recommend Approval,medium seating,1,15.0,15,15
VIDA MEXICANA INC.,Pending Review,Inactive,Pending Review,large seating,1,36.0,36,36
3713 RIVERDALE REST CORP.,Pending Review,Inactive,Review Period Expired,large seating,1,21.0,21,21
PATRICIAS MORRIS PARK CORP.,Pending Review,Inactive,Review Period Expired,medium seating,1,16.0,16,16
120 U REST. LLC,Pending Review,Inactive,Review Period Expired,large seating,1,24.0,24,24
"CAFE 71, INC.",Pending Review,Inactive,Pending Review,large seating,1,29.0,29,29
"TAPPO, INC.",Pending Review,Inactive,Review Period Expired,small seating,1,10.0,10,10
SWEET CHICK FLATBUSH LLC,Pending Review,Inactive,Review Period Expired,large seating,1,34.0,34,34
POLLOS MARIO WOODHAVEN CORP.,Pending Review,Inactive,Pending Review,large seating,1,40.0,40,40
"LUNELLA RISTORANTE, INC.",Pending Review,Inactive,Review Period Expired,small seating,1,8.0,8,8
NEW YORK BURGER 10th AVE INC.,Pending Review,Inactive,Pending Review,large seating,1,54.0,54,54
"HASHEM MELECH, INC",Pending Review,Inactive,Pending Review,large seating,1,48.0,48,48
JPS VENTURES INC.,Pending Review,Inactive,Pending Review,medium seating,1,16.0,16,16
ONE MELON LLC,Issued,Active,Recommend Approval,large seating,1,28.0,28,28
