street_name,total_tanks_inspected_per_street
Mitchell Place,1
Lexington Avenue,4
5th Avenue,14
EAST 85 STREET,1
West 43rd Street,3
East 34th Street,1
West 119th Street,2
East 68th st,2
Malcolm X BLVD,1
East 71st St,1
WEST 78 STREET,1
Fifth Avenue,3
Metrotech,1
Willoughby Street,4
EAST   75 STREET,1
LEXINGTON AVE,16
Eighth Avenue,1
WEST   72 STREET,2
6th Street,2
Park Avenue,20
Washington Square West,1
WEST 111 STREET,1
WEST END AVENUE,3
Beekman Street,1
East 86th Street,2
WEST 40 STREET,2
Olinville Avenue,1
Centre Street,1
FORT WASHINGTON AVE,1
Church Street,1
WEST 70 STREET,2
West 20 Street,2
Claremont Avenue,4
West End Avenue,27
EAST   67 STREET,2
Adams Street,4
River Terrace,2
62 AVENUE,1
East 21st Street,2
East 84th Street,1
5TH AVENUE,3
West 30 Street,1
EAST 61 STREET,1
WEST   30 STREET,1
MADISON AVENUE,3
Broadway,5
