brooklyn_condominium_property_neighborhood,category,count,avg_value,total_value,max_value
BEDFORD STUYVESANT,low,1,0.0,0.0,0.0
BRIGHTON BEACH,medium,1,15.07,15.07,15.07
SHEEPSHEAD BAY,medium,1,16.66,16.66,16.66
MADISON,medium,2,19.44,38.88,19.71
PARK SLOPE,medium,1,22.09,22.09,22.09
CROWN HEIGHTS,low,1,12.0,12.0,12.0
DOWNTOWN-FULTON FERRY,medium,1,19.87,19.87,19.87
WILLIAMSBURG-NORTH,medium,3,18.11,54.33,18.67
DOWNTOWN-METROTECH,medium,1,27.2,27.2,27.2
BOROUGH PARK,medium,1,17.61,17.61,17.61
OCEAN PARKWAY-NORTH,medium,1,17.5,17.5,17.5
WILLIAMSBURG-CENTRAL,medium,2,21.145000000000003,42.290000000000006,21.92
GRAVESEND,medium,1,22.46,22.46,22.46
FORT GREENE,medium,4,17.005,68.02,17.31
MADISON,low,2,11.719999999999999,23.439999999999998,12.0
BRIGHTON BEACH,low,1,9.3,9.3,9.3
GREENPOINT,medium,1,26.4,26.4,26.4
BEDFORD STUYVESANT,medium,3,25.456666666666667,76.37,29.5
BOROUGH PARK,low,1,0.0,0.0,0.0
BAY RIDGE,medium,1,21.0,21.0,21.0
