school_name,t3_school_name,fax_number,t5_fax_number,attendance_rate,pct_stu_safe,academicopportunities1,method4
Curtis High School,Curtis High School,718-556-4800,718-556-4800,0.85,0.76,International Baccalaureate (IB): Curtis HS is authorized by the IB Organization to offer the Diploma Programme.,Open
Hillside Arts & Letters Academy,Hillside Arts & Letters Academy,718-658-1613,718-658-1613,0.87,0.9,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, & Regents Prep",
High School of Sports Management,High School of Sports Management,718-333-7675,718-333-7675,0.76,0.78,"Sports Management Executive Leadership, Business of Sport Journal, Student Leadership Council, Event Planning of PSAL Sporting Events.",
Khalil Gibran International Academy,Khalil Gibran International Academy,718-488-1724,718-488-1724,0.85,0.85,iLearnNYC: Program for expanded online coursework and self-paced learning,
The Clinton School,The Clinton School,212-524-4365,212-524-4365,0.96,0.9,"""IB for All""-11th and 12th grade Clintonians take three higher level and three standard level International Baccalaureate courses.",
Belmont Preparatory High School,Belmont Preparatory High School,718-295-3655,718-295-3655,0.86,0.85,Academic programs are humanities-based and aligned to Common Core standards which ensure that students are prepared for college and university life.,
Theatre Arts Production Company School,Theatre Arts Production Company School,718-584-5102,718-584-5102,0.81,0.77,"Chancellor's Endorsed Diploma in Five Arts Studios- Drama, Dance (including hip hop), Instrumental Music (Jazz at Lincoln Center curriculum), Vocal Music, & Visual Arts",Audition
Bronx Studio School for Writers and Artists,Bronx Studio School for Writers and Artists,718-893-5982,718-893-5982,0.85,0.77,"Character Development: advisory, career development/occupational studies, leadership elevate, peer group connection (PGC Leaders), global leadership",
Francis Lewis High School,Francis Lewis High School,718-746-2017,718-746-2017,0.93,0.87,iLearnNYC: Program for expanded online coursework and self-paced learning,Screened
Metropolitan Diploma Plus High School,Metropolitan Diploma Plus High School,718-342-6329,718-342-6329,0.63,0.9,The Learning to Work partner for Metropolitan Diploma Plus High School is New York City Mission Society.,
Transit Tech Career and Technical Education High School,Transit Tech Career and Technical Education High School,718-647-4458,718-647-4458,0.87,0.76,"FRC/FTC, Robotics, Justice Resource Center (JRC) partnership provides course pathways in Law Enforcement, AVID college- and career-readiness program",Screened
Wings Academy,Wings Academy,718-931-8366,718-931-8366,0.79,0.71,Saturday Regents prep; PM school; Saturday school; PSAT/SAT Prep Courses; Academic Lunch Club,
Martin Van Buren High School,Martin Van Buren High School,718-217-6287,718-217-6287,0.88,0.71,Our Pre-Med students take a rigorous slate of Honors and AP STEM classes while interning at prestigious universities and health facilities,Zoned Priority
High School of Arts and Technology,High School of Arts and Technology,917-441-3693,917-441-3693,0.78,0.7,Spanish-LOTE,
Epic High School - North,Epic High School - North,718-570-8231,718-570-8231,0.83,0.92,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources; Real-world problem-based learning,
The Bronxwood Preparatory Academy,The Bronxwood Preparatory Academy,718-696-3821,718-696-3821,0.91,0.82,"Saturday academy for tutoring, program for expanded online coursework and self-paced learning",
Crotona International High School,Crotona International High School,718-561-8707,718-561-8707,0.85,0.92,Students graduate with Career and Technical Education Diploma,
The Urban Assembly School for Emergency Management,The Urban Assembly School for Emergency Management,212-225-0996,212-225-0996,0.81,0.87,"Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",
Bronx Aerospace High School,Bronx Aerospace High School,718-696-6030,718-696-6030,0.81,0.75,The Aviation program teaches the engineering and aerodynamics involved in flying aircrafts to complete Ground School and pass the FAA Written Exam,
Comprehensive Model School Project M.S. 327,Comprehensive Model School Project M.S. 327,718-294-8109,718-294-8109,0.88,0.89,After-School and Saturday Tutoring,
The Cinema School,The Cinema School,718-620-2561,718-620-2561,0.88,0.89,Four-Year cinema studies curriculum in narrative filmmaking,
