property_floor_area_building,energy_star_certification_3,date_property_last_modified,district_steam_cost,national_median_site_energy,national_median_source_energy,national_median_energy_cost,rank,dense_rank
55190,False,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,1,1
152026,False,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,1,1
50820,False,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,1,1
627731,False,11/13/2013 05:33 AM EST,0,85183096.7,214370136.5,0,1,1
110032,False,12/19/2013 06:55 AM EST,Not Available,11421321.6,25593443.2,458260.92,1,1
222200,False,04/17/2014 12:41 PM EDT,Not Available,3955160,10576720,198669.65,1,1
166738,False,02/10/2014 01:08 PM EST,Not Available,20241993.2,38749911.2,0,1,1
795215,False,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,1,1
295780,False,04/29/2014 01:15 PM EDT,47711.1025,29578000,80747940,121341.49,1,1
275252,False,04/14/2014 10:53 AM EDT,Not Available,16047191.6,40764821.2,0,1,1
275252,False,04/14/2014 10:53 AM EDT,Not Available,16047191.6,40764821.2,0,1,1
66962,False,04/15/2014 07:32 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
51450,False,04/15/2014 12:59 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
791632,True,09/15/2013 04:29 PM EDT,883024.609,106632830.4,239231190.4,2789156.31,8,1
342387,False,09/15/2013 04:29 PM EDT,0,44578787.4,94259141.1,0,6,3
601586,False,09/15/2013 04:29 PM EDT,Not Available,67377632,155991249.8,0,10,4
137469,False,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,1,5
184489,False,09/15/2013 04:29 PM EDT,132726.5024,Not Available,Not Available,Not Available,1,5
68821,False,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,1,5
213796,False,09/15/2013 04:29 PM EDT,344854.8923,Not Available,Not Available,Not Available,1,5
457771,False,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,1,5
2613986,False,09/15/2013 04:29 PM EDT,1414799.126,Not Available,387131326.6,Not Available,7,5
79965,False,09/15/2013 04:29 PM EDT,Not Available,Not Available,20998809,Not Available,9,5
150135,False,04/17/2014 10:00 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
56271,False,04/25/2014 06:50 AM EDT,0,8063634.3,16177912.5,0,1,1
105000,False,09/15/2013 04:31 PM EDT,Not Available,11424000,23089500,0,1,1
372545,False,03/19/2014 12:13 PM EDT,Not Available,42023076,91757833.5,0,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
