queens_cooperatives_comparable_properties_neighborhood,total_market_value_per_sqft
DOUGLASTON,41.4
BEECHHURST,40.5
BAYSIDE,116.0
CORONA,98.0
JAMAICA,41.6
FLORAL PARK,42.4
ASTORIA,47.5
ELMHURST,47.3
BRIARWOOD,54.0
LITTLE NECK,42.3
REGO PARK,63.0
HOWARD BEACH,65.32000000000001
JACKSON HEIGHTS,38.7
MIDDLE VILLAGE,111.0
KEW GARDENS,38.8
FLUSHING-NORTH,234.2
FOREST HILLS,289.8
SUNNYSIDE,125.0
ROCKAWAY PARK,56.0
