registration_state,issuing_agency,category,count,avg_value,total_value,max_value
FL,P,no_observation,2,0.0,0,0
NY,M,no_observation,1,0.0,0,0
99,Q,no_observation,1,0.0,0,0
NY,C,no_observation,4,0.0,0,0
99,P,no_observation,3,0.0,0,0
NJ,4,no_observation,1,0.0,0,0
NY,U,no_observation,1,0.0,0,0
OH,P,no_observation,2,0.0,0,0
NJ,N,no_observation,1,0.0,0,0
NY,N,no_observation,1,0.0,0,0
NY,R,no_observation,1,0.0,0,0
NY,Y,long_observation,3,20220608.0,60661824,20220608
NY,P,no_observation,35,0.0,0,0
99,M,no_observation,1,0.0,0,0
NY,K,no_observation,9,0.0,0,0
NY,Y,no_observation,7,0.0,0,0
NY,T,no_observation,3,0.0,0,0
