permitseriesshortdesc,permitissuedate,permitteename,createdon,permitnumber,t3_createdon,t2_permitnumber,record_count,total_amount,avg_amount,max_amount,min_amount
DOT IN-HOUSE PAVING AND MILLING,2025-07-11 09:58:41,NYC DEPT OF TRANSPORTATION,2025-07-11 09:58:39,B152025192A56,2025-07-11 09:58:39,B152025192A56,6,,,,
COMMERCIAL REFUSE CONTAINER PERMIT,2025-07-11 12:44:50,CITYWIDE CONTAINER SERVICE CORP.,2025-07-11 12:44:48,B162025192A80,2025-07-11 12:44:48,B162025192A80,12,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-16 14:59:57,NYC DEPT OF TRANSPORTATION,2025-07-16 14:59:56,B152025197A40,2025-07-16 14:59:56,B152025197A40,18,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-15 14:48:11,NYC DEPT OF TRANSPORTATION,2025-07-15 14:48:08,B152025196A15,2025-07-15 14:48:08,B152025196A15,20,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-11 10:06:28,NYC DEPT OF TRANSPORTATION,2025-07-11 10:06:27,B152025192A74,2025-07-11 10:06:27,B152025192A74,16,,,,
MANHOLE EMBARGO PERMIT,2025-07-10 07:11:32,CONSOLIDATED EDISON,2025-07-10 07:11:35,M032025191A08,2025-07-10 07:11:35,M032025191A08,12,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-15 14:48:09,NYC DEPT OF TRANSPORTATION,2025-07-15 14:48:06,B152025196A10,2025-07-15 14:48:06,B152025196A10,10,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-16 14:59:54,NYC DEPT OF TRANSPORTATION,2025-07-16 14:59:53,B152025197A30,2025-07-16 14:59:53,B152025197A30,27,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-15 14:48:10,NYC DEPT OF TRANSPORTATION,2025-07-15 14:48:07,B152025196A13,2025-07-15 14:48:07,B152025196A13,5,,,,
COMMERCIAL REFUSE CONTAINER PERMIT,2025-07-12 11:39:16,ATLAS ROLL-OFF CORP.,2025-07-12 11:39:14,B162025193A23,2025-07-12 11:39:14,B162025193A23,6,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-11 09:27:59,NYC DEPT OF TRANSPORTATION,2025-07-11 09:27:57,B152025192A24,2025-07-11 09:27:57,B152025192A24,8,,,,
DOT IN-HOUSE PAVING AND MILLING,2025-07-16 14:59:59,NYC DEPT OF TRANSPORTATION,2025-07-16 14:59:58,B152025197A47,2025-07-16 14:59:58,B152025197A47,18,,,,
