school_name,partner_other,partner_corporate,record_count,total_amount,avg_amount,max_amount,min_amount
Herbert H. Lehman High School.,,,1,3,3.0,3,3
Frederick Douglass Academy VII High School,"Expanded Success Initiative, Digital Ready, NYC Teaching Collaborative, Creating Healthy Places, iLearn",McGraw-Hill (male mentoring),1,1,1.0,1,1
Francis Lewis High School,"Marathon Program, Day Care 811 @ PS 136, Queens Center for Progress, The School of Cooperative Technical Education (Co-op Tech), Vocational and Educational Services for Individuals with Disabilities (VESID)","Us, The Margaret Tietz Nursing and Rehabilitation Center",1,5,5.0,5,5
Bronx Envision Academy,,PENCIL Partnership,1,1,1.0,1,1
PROGRESS High School for Professional Careers,"The Leadership Program, Big Apple Games, Health Plus","Student internships with corporate partners: Citigroup, Verizon, Kramer Levin Naftalis & Frankel law firm",1,4,4.0,4,4
Pelham Lab High School,,,1,1,1.0,1,1
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,"Sony Music, Warner Music Group, Capital Cities ABC, The Walt Disney Company",1,6,6.0,6,6
Brooklyn Lab School,,Bialosky and Partners,1,1,1.0,1,1
Brooklyn Preparatory High School,"Student Press Initiative, National Center for Restructing Education, Schools & Teaching (NCREST)","Digitas, AT&T, AT Kearney, Disney",1,1,1.0,1,1
High School for Violin and Dance,Bronx Cares,Print International,1,1,1.0,1,1
Mott Haven Village Preparatory High School,,,1,1,1.0,1,1
Bronx Leadership Academy II High School,"Manice Education Program, Bronx Zoo, Blue Engine",Bloomberg Inc.,1,1,1.0,1,1
Thurgood Marshall Academy for Learning and Social Change,,"O’Melveny & Myers LLP, NBC Universal",1,1,1.0,1,1
Institute for Health Professions at Cambria Heights,"Institute for Student Achievement (ISA)supports the development of our relationship building, literacy, mathematics, and college readiness programs.",,1,1,1.0,1,1
Validus Preparatory Academy: An Expeditionary Learning School,,,1,1,1.0,1,1
Beacon High School,,,1,1,1.0,1,1
Richard R. Green High School of Teaching,"Internship Opportunities: Local Elementary, Middle, and High Schools, Futures and Options, NY Downtown Hospital, Memorial Sloan Kettering Cancer Institute",,1,2,2.0,2,2
"Science, Technology and Research Early College High School at Erasmus",,Bank of America,1,1,1.0,1,1
Martin Van Buren High School,,,1,5,5.0,5,5
