block,total_failure_to_file_amt
1162,0.0
3252,10000.0
2290,20000.0
1349,0.0
869,1000.0
2703,5000.0
4960,112000.0
1131,5000.0
2639,0.0
699,0.0
1527,1000.0
5287,12000.0
1233,1000.0
2465,2000.0
1456,0.0
4428,12000.0
1855,0.0
490,0.0
1210,11000.0
1849,6000.0
5785,1000.0
3886,0.0
1029,0.0
4649,7000.0
3253,5000.0
208,5000.0
6100,0.0
3709,0.0
1262,5000.0
4959,1000.0
851,5000.0
1022,0.0
1982,10000.0
1649,0.0
265,0.0
3315,10000.0
797,0.0
1412,30000.0
1152,0.0
2505,0.0
3112,5000.0
3078,3000.0
3250,5000.0
1066,78000.0
15810,5000.0
1721,25000.0
809,14000.0
1011,0.0
740,0.0
757,0.0
