inspectionrequestid,t4_inspectionrequestid,lotid,t3_lotid,area,originaloverride,requeststatusid,detailentrydate
64175,64175,45939,45939,39.0,0,1048,2007-01-18 08:48:45
82912,82912,75626,75626,39.0,0,1048,2008-12-26 22:44:46
11783,11783,112453,112453,39.0,0,1048,2000-03-28 10:45:19
85733,85733,79234,79234,40.0,0,1048,2009-05-07 14:42:54
1870,1870,101001,101001,40.0,0,1048,1998-06-01 11:24:54
1870,1870,101001,101001,40.0,0,1048,1998-06-01 11:24:54
105445,105445,177491,177491,0.0,0,1048,2011-08-30 12:48:19
8641,8641,131159,131159,39.0,0,1048,2001-07-23 10:15:21
109510,109510,182361,182361,0.0,0,1048,2012-03-12 10:05:10
7804,7804,75266,75266,39.0,0,1048,1999-04-06 10:21:48
27571,27571,161575,161575,39.0,0,1048,2004-02-03 10:28:53
109990,109990,182954,182954,0.0,0,1048,2012-04-16 11:23:02
132645,132645,209541,209541,0.0,0,1048,2015-11-23 12:42:55
44331,44331,13967,13967,40.0,0,1048,2004-10-07 11:24:01
12094,12094,107635,107635,39.0,0,1048,1999-12-27 08:34:33
17037,17037,122541,122541,39.0,0,1048,2000-10-17 14:22:56
17037,17037,122541,122541,39.0,0,1048,2000-10-16 08:59:35
30505,30505,163786,163786,39.0,0,1048,2003-08-12 10:22:42
128240,128240,204033,204033,0.0,1,1048,2015-03-16 11:39:00
54179,54179,28725,28725,40.0,0,1048,2005-10-07 09:11:03
112082,112082,185409,185409,0.0,0,1048,2012-08-09 10:29:07
130187,130187,207691,207691,0.0,0,1048,2015-07-21 09:07:56
17476,17476,126197,126197,39.0,0,1048,2000-12-20 14:41:27
19895,19895,134747,134747,39.0,0,1048,2001-06-12 08:57:44
133674,133674,211158,211158,0.0,0,1048,2016-01-19 10:31:12
38338,38338,3501,3501,39.0,0,1048,2004-02-17 14:33:10
40125,40125,7338,7338,39.0,0,1048,2004-09-07 08:58:42
86854,86854,80421,80421,39.0,0,1048,2009-06-09 15:42:22
25125,25125,148982,148982,39.0,0,1048,2002-05-10 10:01:06
41956,41956,10285,10285,39.0,0,1048,2004-08-31 14:40:50
55547,55547,31105,31105,39.0,0,1048,2005-12-05 11:52:15
60794,60794,40251,40251,39.0,0,1048,2006-08-14 14:17:19
60794,60794,40251,40251,39.0,0,1048,2006-08-14 14:17:19
77457,77457,67726,67726,39.0,0,1048,2008-08-19 11:14:49
19547,19547,134136,134136,39.0,0,1048,2001-07-17 08:14:05
24229,24229,147281,147281,39.0,0,1048,2002-06-11 08:22:45
133367,133367,210567,210567,0.0,0,1048,2015-12-11 09:37:38
61742,61742,41841,41841,39.0,0,1048,2006-09-19 09:34:40
66183,66183,49531,49531,40.0,0,1048,2007-05-07 09:16:34
67133,67133,51402,51402,39.0,0,1048,2007-06-06 10:57:44
67133,67133,51402,51402,39.0,0,1048,2007-06-06 10:57:04
96980,96980,94024,94024,39.0,0,1048,2010-06-30 11:49:57
10050,10050,109674,109674,39.0,0,1048,2000-04-10 10:59:07
18280,18280,130151,130151,40.0,0,1048,2001-05-14 14:56:51
76632,76632,66271,66271,39.0,0,1048,2008-04-23 14:29:57
109079,109079,181903,181903,0.0,0,1048,2012-03-27 09:15:08
58562,58562,36588,36588,39.0,0,1048,2006-05-23 10:02:53
26940,26940,152654,152654,39.0,0,1048,2002-10-07 09:52:43
