borough_name,digital_literacy,job_readiness_ex_resume_help,education_ex_personal_growth,category,count,avg_value,total_value,max_value
Queens,Y,Y,Y,No Capacity,1,0.0,0.0,0.0
Manhattan,Y,N,Y,Medium Capacity,1,420.2,420.2,420.2
Queens,N,N,N,Medium Capacity,4,328.7,1314.8,500.0
Manhattan,Y,Y,Y,Medium Capacity,1,5.1,5.1,5.1
Manhattan,N,N,Y,Medium Capacity,1,227.5,227.5,227.5
Bronx,Y,N,N,Medium Capacity,1,45.1,45.1,45.1
Staten Island,N,N,N,No Capacity,1,,,
Manhattan,N,Y,Y,High Capacity,1,1000.0,1000.0,1000.0
Bronx,N,Y,Y,High Capacity,1,1000.0,1000.0,1000.0
Brooklyn,N,Y,N,Medium Capacity,1,15.0,15.0,15.0
Brooklyn,N,N,N,Medium Capacity,3,67.33333333333333,202.0,160.8
Bronx,N,N,Y,Medium Capacity,1,80.0,80.0,80.0
Brooklyn,Y,N,N,Medium Capacity,2,37.5,75.0,60.0
Manhattan,Y,Y,Y,No Capacity,1,0.0,0.0,0.0
Manhattan,Y,N,N,Medium Capacity,2,45.25,90.5,80.0
