filing_representative_business_name,work_type,filing_reason,permit_status,total,count,average
JACK JAFFA AND ASSOCIATES,Earth Work,Renewal Permit Without Changes,Permit Issued,18900000.0,54,350000.0
JACK JAFFA AND ASSOCIATES,General Construction,Renewal Permit Without Changes,Permit Issued,18900000.0,54,350000.0
MILROSE CONSULTANTS LLC,General Construction,Initial Permit,Signed-off,700000.0,1,700000.0
MILROSE CONSULTANTS LLC,General Construction,Renewal Permit Without Changes,Signed-off,700000.0,1,700000.0
,Structural,Initial Permit,Signed-off,435350.0,1,435350.0
,Mechanical Systems,Initial Permit,Permit Issued,331000.0,11,30090.909090909092
,Sidewalk Shed,Renewal Permit Without Changes,Signed-off,181600.0,26,6984.615384615385
,Sidewalk Shed,Initial Permit,Signed-off,168600.0,23,7330.434782608696
"UPRIGHT EXPEDITERS, INC.",Mechanical Systems,Initial Permit,Signed-off,121000.0,1,121000.0
"UPRIGHT EXPEDITERS, INC.",Mechanical Systems,Renewal Permit Without Changes,Signed-off,121000.0,1,121000.0
"EC BUILDING CONSULTANTS, INC.",Structural,Initial Permit,Signed-off,100000.0,1,100000.0
,Structural,Renewal Permit with Changes,Signed-off,92000.0,2,46000.0
MK EXP,General Construction,Initial Permit,Signed-off,80000.0,2,40000.0
"IDA GALEA, ARCHITECT",General Construction,Initial Permit,Signed-off,75335.0,1,75335.0
KTC DESIGN GROUP INC.,General Construction,Initial Permit,Signed-off,73000.0,1,73000.0
,Supported Scaffold,Renewal Permit Without Changes,Signed-off,60000.0,12,5000.0
NY State Solar LLC,Solar,Initial Permit,Signed-off,59043.0,1,59043.0
Sunrun,Solar,Initial Permit,Signed-off,52650.0,1,52650.0
A1 EXPEDITING SERVICE CORP.,Protection and Mechanical Methods,Renewal Permit Without Changes,Permit Issued,50000.0,1,50000.0
"OUTSOURCE CONSULTANTS, INC.",Mechanical Systems,Initial Permit,Permit Issued,50000.0,1,50000.0
A1 EXPEDITING SERVICE CORP.,Supported Scaffold,Renewal Permit Without Changes,Permit Issued,50000.0,1,50000.0
,Construction Fence,Initial Permit,Signed-off,48000.0,9,5333.333333333333
,Plumbing,Initial Permit,Permit Issued,42715.0,1,42715.0
,General Construction,Initial Permit,Signed-off,39040.0,2,19520.0
WDF INC,Plumbing,Initial Permit,Signed-off,37470.0,1,37470.0
WDF INC,Plumbing,Renewal Permit Without Changes,Signed-off,37470.0,1,37470.0
BLUEWATER PLUMBING & HEATING INC,Plumbing,Initial Permit,Permit Issued,34000.0,1,34000.0
,Solar,Initial Permit,Signed-off,31208.2,1,31208.2
,Supported Scaffold,Initial Permit,Signed-off,30000.0,6,5000.0
MILROSE CONSULTANTS,General Construction,Initial Permit,Permit Issued,25000.0,1,25000.0
,Sprinklers,Initial Permit,Signed-off,20000.0,1,20000.0
FIRST CHOICE HOUSING LLC,Plumbing,Renewal Permit Without Changes,Signed-off,13500.0,1,13500.0
FIRST CHOICE HOUSING LLC,Plumbing,Initial Permit,Signed-off,13500.0,1,13500.0
BAY RESTORATION CORP.,Supported Scaffold,Initial Permit,Permit Issued,12000.0,1,12000.0
"KM ASSOCIATES OF NY, INC.",Construction Fence,Initial Permit,Signed-off,8000.0,8,1000.0
,Plumbing,Initial Permit,Signed-off,7500.0,1,7500.0
A1 EXPEDITING SERVICE CORP.,Construction Fence,Renewal Permit Without Changes,Permit Issued,5000.0,1,5000.0
EASTERN ELITE INC,Boiler Equipment,Initial Permit,Permit Issued,2000.0,1,2000.0
WILLIAM VITACCO ASSOCIATES,Mechanical Systems,Renewal Permit Without Changes,Permit Issued,2000.0,2,1000.0
,Plumbing,Renewal Permit Without Changes,Permit Issued,2000.0,2,1000.0
JM ZONING,Structural,Renewal Permit Without Changes,Signed-off,2000.0,2,1000.0
GEORGE E. BERGER & ASSOCIATES,Structural,Initial Permit,Signed-off,1000.0,1,1000.0
,Plumbing,Renewal Permit Without Changes,Signed-off,1000.0,1,1000.0
WILLIAM VITACCO ASSOCIATES,Mechanical Systems,Renewal Permit Without Changes,Signed-off,1000.0,1,1000.0
,Construction Fence,Initial Permit,Permit Issued,160.0,1,160.0
AE DESIGN SOLUTION INC.,Sidewalk Shed,Renewal Permit Without Changes,Permit Issued,1.0,1,1.0
