db_entity_name,empname,contributor_empname,filing_entity_name,seg_ind,schedule,category,count,avg_value,total_value,max_value
FOREST CITY RATNER COMPANIES LLC,Forest City Ratner Companies,Forest City Ratner Companies,FOREST CITY RATNER COMPANIES LLC,N,ABC,medium,8,400.0,3200.0,400.0
"SVAM INTERNATIONAL, INC",Svam International,Svam International,"SVAM INTERNATIONAL, INC",N,ABC,medium,1,400.0,400.0,400.0
INNER FORCE TOTS INC,Physician,Physician,INNER FORCE TOTS INC,N,ABC,small,6,100.0,600.0,100.0
METROPOLITAN WATERFRONT ALLIANCE,Waterfront Alliance,Waterfront Alliance,METROPOLITAN WATERFRONT ALLIANCE,N,ABC,small,1,100.0,100.0,100.0
PARTNERS VII/ 98 AVENUE A OWNER LLC,Magnum Real Estate Group,Magnum Real Estate Group,PARTNERS VII/ 98 AVENUE A OWNER LLC,N,ABC,medium,2,400.0,800.0,400.0
NEW YORK COMMUNITIES FOR CHANGE,NYSNA,NYSNA,NEW YORK COMMUNITIES FOR CHANGE,N,ABC,small,2,30.0,60.0,30.0
NEW HERITAGE THEATRE GROUP,Not Employed,Not Employed,NEW HERITAGE THEATRE GROUP,N,ABC,small,6,50.0,300.0,50.0
VORNADO REALTY LP,Self,Self,VORNADO REALTY LP,N,ABC,small,3,100.0,300.0,100.0
"ANDREW VELEZ CONSTRUCTION, INC.",Velez Organization,Velez Organization,"ANDREW VELEZ CONSTRUCTION, INC.",N,ABC,medium,1,175.0,175.0,175.0
BATTALION CHRISTIAN ACADEMY,Battalion Christian Academy,Battalion Christian Academy,BATTALION CHRISTIAN ACADEMY,N,ABC,medium,2,200.0,400.0,200.0
"FRIENDS OF THE HIGH LINE, INC",Leslie-Lohman Museum for Gay a,Leslie-Lohman Museum for Gay a,"FRIENDS OF THE HIGH LINE, INC",N,ABC,medium,1,175.0,175.0,175.0
CHILDREN OF BELLEVUE INC,Broadridge,Broadridge,CHILDREN OF BELLEVUE INC,N,ABC,small,2,50.0,100.0,50.0
BUSHWICK ECONOMIC DEVELOPMENT CORP,Bushwick Economic Development,Bushwick Economic Development,BUSHWICK ECONOMIC DEVELOPMENT CORP,N,ABC,small,1,100.0,100.0,100.0
DALYGONZALEZ LLC,DBI,DBI,DALYGONZALEZ LLC,N,ABC,medium,1,250.0,250.0,250.0
ST. ROSALIA-REGINA PACIS NEIGHBORHOOD IMPROVEMENT ASSOCIATION INC (NIA),Uniformed Sanitationmen's Asso,Uniformed Sanitationmen's Asso,ST. ROSALIA-REGINA PACIS NEIGHBORHOOD IMPROVEMENT ASSOCIATION INC (NIA),N,ABC,medium,2,175.0,350.0,175.0
"PITTA, BISHOP, DEL GIORNO & GIBLIN LLC",Pryor Cashman Sherman,Pryor Cashman Sherman,"PITTA, BISHOP, DEL GIORNO & GIBLIN LLC",N,ABC,medium,2,400.0,800.0,400.0
NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,Not Employed,Not Employed,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,N,ABC,small,27,83.33333333333333,2250.0,100.0
EMPIRE OFFICE INC,Self,Self,EMPIRE OFFICE INC,N,ABC,medium,3,1000.0,3000.0,1000.0
CONSOLIDATED EDISON CO. OF NEW YORK INC.,Con Edision,Con Edision,CONSOLIDATED EDISON CO. OF NEW YORK INC.,N,ABC,medium,8,400.0,3200.0,400.0
PRIMARY CARE DEVELOPMENT CORPORATION (PCDC),Primary Care Development Corp,Primary Care Development Corp,PRIMARY CARE DEVELOPMENT CORPORATION (PCDC),N,ABC,small,1,50.0,50.0,50.0
CONSOLIDATED EDISON CO. OF NEW YORK INC.,Con Edison,Con Edison,CONSOLIDATED EDISON CO. OF NEW YORK INC.,N,ABC,medium,8,400.0,3200.0,400.0
SUPERIOR PEST ELIMINATION INC,Superior Pest Elimination,Superior Pest Elimination,SUPERIOR PEST ELIMINATION INC,N,ABC,medium,1,250.0,250.0,250.0
VORNADO REALTY LP,Self,Self,VORNADO REALTY LP,N,ABC,medium,3,175.0,525.0,175.0
JAMES PANTELIDIS,Self,Self,JAMES PANTELIDIS,N,ABC,large,3,4950.0,14850.0,4950.0
CONSTANTINOPLE & VALLONE CONSULTING LLC,Not employed,Not employed,CONSTANTINOPLE & VALLONE CONSULTING LLC,N,ABC,medium,8,500.0,4000.0,500.0
"THE DOE FUND, INC.",The Doe Fund,The Doe Fund,"THE DOE FUND, INC.",N,ABC,medium,1,400.0,400.0,400.0
THE LEGAL AID SOCIETY,The Legal Aid Society,The Legal Aid Society,THE LEGAL AID SOCIETY,N,ABC,small,8,81.25,650.0,100.0
LILKER ASSOCIATES CONSULTING ENGINEERS PC PC,Lilker Associates,Lilker Associates,LILKER ASSOCIATES CONSULTING ENGINEERS PC PC,N,ABC,medium,1,500.0,500.0,500.0
"TOGETHER IN DANCE, INC",self,self,"TOGETHER IN DANCE, INC",N,ABC,small,3,27.0,81.0,27.0
"NATURAL RESOURCES DEFENSE COUNCIL, INC.",self-employed,self-employed,"NATURAL RESOURCES DEFENSE COUNCIL, INC.",N,ABC,medium,2,337.5,675.0,500.0
"MADELINE CHOCOLATE NOVELTIES, INC.",Madelaine chocolate,Madelaine chocolate,"MADELINE CHOCOLATE NOVELTIES, INC.",N,ABC,medium,2,400.0,800.0,400.0
RICHMOND COUNTY YOUTH COMPLEX,MOORE CATHOLIC,MOORE CATHOLIC,RICHMOND COUNTY YOUTH COMPLEX,N,ABC,medium,1,300.0,300.0,300.0
