programname,program_count,phonenumber,address,address
P.S./I.S. 187 Hudson Cliffs,1,212-927-8218,349 Cabrini Boulevard,349 Cabrini Boulevard
P.S. 38 The Pacific,1,718-330-9305,450 Pacific Street,450 Pacific Street
"Yeled V'Yalda ECC, Inc.",2,718-514-8980,600 Mcdonald Avenue,600 Mcdonald Avenue
LSSMNY: Early LIFE Childrens Center 14,1,646-449-0814,510-16 West 145 Street,510-16 West 145 Street
Williamsburg CCC,1,347-943-7682,110 Taylor Street,110 Taylor Street
Friends of Crown Heights 29,1,718-778-1498,1435 Prospect Place,1435 Prospect Place
P.S. 67 Charles A. Dorsey,1,718-834-6756,51 Saint Edwards Street,51 Saint Edwards Street
P.S. 20 Clinton Hill,1,718-834-6744,225 Adelphi Street,225 Adelphi Street
Washington Heights DCC,1,212-781-6910,610-614 West 175 Street,610-614 West 175 Street
1199 Future of America Learning Center,1,718-562-2915,2500 Creston Avenue,2500 Creston Avenue
Prospect Early Childhood Center,1,718-617-6100,730 Kelly Street,730 Kelly Street
Manida (Center #1),1,718-542-7590,711 Manida Street,711 Manida Street
P.S. 124 Yung Wing,1,212-966-7237,40 Division Street,40 Division Street
Cathedral Parkway Towers Preschool,1,212-749-0291,125 West 109 Street,125 West 109 Street
Seventh Avenue Center for Family Services,1,718-901-0140,1646 Montgomery Avenue,1646 Montgomery Avenue
P.S. 129 John H. Finley,1,212-690-5932,425 West 130 Street,425 West 130 Street
"All Seasons Day Care, LLC",1,718-324-8300,1701 Nereid Avenue,1701 Nereid Avenue
Sixth Avenue Elementary School,2,917-305-1000,590 Sixth Avenue,590 Sixth Avenue
P.S. 58,1,718-583-6866,459 East 176 Street,459 East 176 Street
Trey Whitfield School,1,718-342-7722,17 Hinsdale Street,17 Hinsdale Street
Urban Strategies 3,1,718-348-9349,1152 Elton Street,1152 Elton Street
P.S. 123 Mahalia Jackson,1,212-342-6200,301 West 140 Street,301 West 140 Street
P.S. 182,1,718-828-6607,601 Stickball Boulevard,601 Stickball Boulevard
Guild for Exceptional Children,1,718-435-2554,1273 57 Street,1273 57 Street
Brooklyn Brownstone School,1,718-573-2307,272 Macdonough Street,272 Macdonough Street
P.S. 207,1,718-796-9645,3030 Godwin Terrace,3030 Godwin Terrace
P.S. 209,1,718-364-0085,313 East 183 Street,313 East 183 Street
P.S. 215 Morris H. Weiss,1,718-339-2464,415 Avenue S,415 Avenue S
The Learning Tree,1,718-944-0958,801 Bartholdi Street,801 Bartholdi Street
P.S. 40 Augustus Saint-Gaudens,1,212-475-5500,320 East 20 Street,320 East 20 Street
P.S. 89,1,212-571-5659,201 Warren Street,201 Warren Street
East Harlem Education Center,1,212-348-2518,2050 Second Avenue,2050 Second Avenue
Imagine Early Learning Center at East 97th Street,1,212-410-2077,60-62 East 97 Street,60-62 East 97 Street
Pequenos Souls Day Care Center,1,212-427-7644,114 East 122 Street,114 East 122 Street
P.S. 189,1,212-927-8303,2580 Amsterdam Avenue,2580 Amsterdam Avenue
Riverdale Nursery School And Family Center,1,718-884-3950,3816 Waldo Avenue,3816 Waldo Avenue
P.S. 396,1,718-294-0862,1930 Andrews Avenue,1930 Andrews Avenue
Saint Theresa,1,718-792-3688,2872 Saint Theresa Avenue,2872 Saint Theresa Avenue
HELP I,1,718-498-4002,515 Blake Avenue,515 Blake Avenue
District 20 Pre-K Center at 7415 Fort Hamilton Parkway,1,718-567-4220,7415 Fort Hamilton Parkway,7415 Fort Hamilton Parkway
Bais Yaakov D'Chassidei Gur,1,718-338-5600,1975 51 Street,1975 51 Street
St. Anselm Catholic Academy,1,718-745-7643,365 83 Street,365 83 Street
District 2 Pre-K Center at 10 Reade Street,1,212-422-6310,10 Reade Street,10 Reade Street
P.S. 253,1,718-332-3331,601 Ocean View Avenue,601 Ocean View Avenue
P.S. 107,1,718-860-8760,1695 Seward Avenue,1695 Seward Avenue
Williamsbridge NAACP Early Childhood Education Center,1,718-798-1262,670 East 219 Street,670 East 219 Street
Sunset Park Avenues Elementary School,1,718-369-8330,4222 4 Avenue,4222 4 Avenue
P.S. 257 John F. Hylan,1,718-384-7128,60 Cook Street,60 Cook Street
The Bilingual Bicultural School,2,212-860-6031,219 East 109 Street,219 East 109 Street
Learning Through Play Pre-K Center at 105 Willis Avenue,1,718-401-0510,105 Willis Avenue,105 Willis Avenue
