job_filing_number,filing_representative_business_name,initial_cost,little_e,owner_s_business_name,total_construction_floor_area,signoff_date,in_compliance_with_nycecc
B00463611-I1,"DESIGN 2147, LTD.",1800.0,False,ACP BK1 LLC,111.0,,True
B01179041-I1,WILLIAM VITACCO ASSOCIATES,0.0,True,,,,False
M00584280-I1,"ARCHETYPE CONSULTANTS, INC.",70000.0,False,SILVERSTEIN PROPERTIES INC.,7500.0,2022-05-02 00:00:00,True
M00772350-I1,SPRING SCAFFOLDING LLC,1.0,False,SPRING SCAFFOLDING LLC,91210.0,2023-12-29 00:00:00,False
M01088431-P1,"ARCHETYPE CONSULTANTS, INC.",14700.0,False,TISHMAN REAL ESTATE MANAGEMENT,1550.0,,False
M08055458-P1,,203626.0,False,,1921.0,,False
Q00852378-I1,,5250.0,False,PR,1300.0,,False
X00798868-S1,NYC SCHOOL CONSTRUCTION AUTHORITY/N,999758.48,False,NYC SCA,77621.0,,False
B00379523-I1,ADVANCED BUILDERS SERVICES,32500.0,True,PROACTIVE BUILDING SOLUTIONS,1484.0,,False
B01056267-S1,,37500.0,False,PR,1800.0,2025-01-28 00:00:00,False
M00345500-I1,,1000.0,False,PHOENIX SUTTON STR INC,3500.0,2020-10-07 00:00:00,False
M01026719-I1,CodeGreen,101372.6,False,SECOND AVE SOLOW DEV CORP,7030.0,2025-01-13 00:00:00,False
B00854112-S1,,6000.0,False,TOMASHOVER CONG,1500.0,2024-01-23 00:00:00,False
M00525359-I1,THE GREEN STUDIO,5000.0,False,TRIARCH MANAGEMENT INC,100.0,,True
X01080570-I1,JULIAN ALBERTO GOMEZ,216750.0,False,PR,1445.0,,False
B00854125-I1,LOUIS STRIAR INC.,100.0,True,BEDFORD ENTERPRISES,4.0,2023-04-27 00:00:00,False
M01106860-I1,MILROSE CONSULTANTS LLC,68250.0,False,NMC PROPERTY MANAGEMENT,180.0,,False
B00977968-I1,SUNCO CAPITAL LLC,57438.0,False,PR,,,False
B00977968-I1,SUNCO CAPITAL LLC,57438.0,False,PR,,2024-04-11 00:00:00,False
S00574757-P1,,12000.0,False,PR,496.0,,True
S01168848-I1,BASIC GROUPS CORP,50000.0,False,BASIC GROUPS CORP,1000.0,,False
M00676209-I1,SBLM,20000.0,False,PRINCE TOWER TENANTS CORP,1000.0,,False
M01232291-I1,BUILDING BROTHERS INC.,200.0,False,W28th Development LLC,8.0,,False
Q00501883-A1,ADVANCED BUILDERS SERVICES,1000.0,False,DAVIS STREET DEVELOPMENT LLC,123325.0,,False
X00615227-I1,,6000.0,False,PR,250.0,2022-12-27 00:00:00,True
X01298560-I1,CONSTANT AND BROWN ENGINEERING DPC,10000.0,False,UNIVERSAL DESIGN & CONSTR MGMT,139.0,,False
B00889442-I1,AVALON DESIGNS INC,10000.0,False,PARK,320.0,2024-03-14 00:00:00,False
M00068081-I1,HH BUILDING CONSUTING & ARCHITECTUR,4000.0,False,JORGE MOLINA,0.0,2019-06-03 00:00:00,False
M00068081-I1,HH BUILDING CONSUTING & ARCHITECTUR,4000.0,False,JORGE MOLINA,0.0,,True
Q08019869-S1,TIMES BUILDINGS ENGINEERING SERVICE,1000.0,False,FOREVER TEA INC,1110.0,2023-01-26 00:00:00,False
B08010802-I1,BARNWELL CONSULTANTS,95000.0,False,PR,360.0,,False
M00731506-P3,,9000.0,False,PR,200.0,,False
M00731506-P3,,9000.0,False,PR,200.0,,False
M01078574-S1,DAVID BUCOVY ARCHITECT,6000.0,False,GROVE PAD TRUST,285.0,,False
B00247826-I1,ASKON ARCHITECTS PC.,500.0,False,A,288.0,,False
M00470686-P3,MUNICIPAL BUILDING CONSULTANTS,38850.0,False,,3186.0,2019-06-03 00:00:00,False
M00470686-P3,MUNICIPAL BUILDING CONSULTANTS,38850.0,False,,3186.0,,True
X00283191-I1,SALLY LOVE ASSOCIATES INC.,150000.0,False,CAPSTONE PROPERTY CARE,10465.0,2024-06-24 00:00:00,True
B00009242-I1,"HAIDER ENGINEERING, P.E.",4000.0,False,HKS CONSTRUCTION CORP,0.0,2024-02-23 00:00:00,False
B00539229-I1,BETRO DESIGN GROUP,1574865.0,False,NEW YORK CITY HOUSING AUTHORITY,78276.0,2025-03-18 00:00:00,True
M00877136-I1,QUICK FILING OF NY INC,7700.0,False,"203 WEST 90TH STREET RETAIL, LLC",685.0,,False
Q00175843-I1,BUILDING BROTHERS INC.,1150.0,False,PR,23.0,2019-09-10 00:00:00,False
Q00343274-P1,QUICK FILING OF NY INC,162500.0,False,HOLDINGS LLC,22728.0,,True
Q01064741-S1,BK CONSTRUCTIONDBA SRT CONSTRUCTION,5000.0,False,BK CONSTRUCTIONDBA SRT CONSTRUCTION,1.0,2024-10-25 00:00:00,False
B00833568-I1,,20000.0,False,MARTAN MANAGEMENT LLC,356.0,2024-01-05 00:00:00,False
Q00900510-P1,ADVANCED BUILDERS SERVICES,0.0,False,KBY BUILDING,10964.0,,False
M00305208-I1,WILLIAM VITACCO ASSOCIATES,100000.0,False,"169 CH9 OWNER, LLC",2617.0,2023-09-11 00:00:00,False
M00970305-I1,LOMBARDO BUILDING CONSULTANTS,0.0,False,SAVANNA,,,False
B00089492-I1,DANICO SERVICES INC,7000.0,False,701 LAFAYETTE AVE LLC.,0.0,2020-10-16 00:00:00,False
B01162336-I1,ADVANCED BUILDERS SERVICES,10000.0,False,PITKIN GROUP LLC,756.0,2025-12-15 00:00:00,False
M00640994-I1,WILLIAM VITACCO ASSOCIATES,110000.0,False,PR,1095.0,2023-02-17 00:00:00,False
X01025944-P1,JAM CONSULTANTS INC.,10000.0,True,RIVERSPRING HEBREW HOME AT RIVERDAL,10000.0,,False
M00888070-I1,,30000.0,False,GUIDANCE REALTY CORPORATION,500.0,2023-09-18 00:00:00,False
Q08050705-P1,,158730.0,False,PI CAPITAL,2886.0,,False
