owner_business_name,issued_date,filing_reason,permit_status,category,count,avg_value,total_value,max_value
PR,2025-07-07 00:00:00,Initial Permit,Signed-off,Low Cost,1,7500.0,7500.0,7500.0
SAFWAY ATLANTIC LLC,2025-10-06 00:00:00,Renewal Permit Without Changes,Permit Issued,Low Cost,1,5000.0,5000.0,5000.0
79th Street Holdings LLC,2025-04-14 00:00:00,Initial Permit,Signed-off,Medium Cost,1,75335.0,75335.0,75335.0
SAFWAY ATLANTIC LLC,2025-09-26 00:00:00,Renewal Permit Without Changes,Permit Issued,Low Cost,1,50000.0,50000.0,50000.0
GREEK BUILDING LLC,2025-07-08 00:00:00,Initial Permit,Signed-off,Low Cost,2,40000.0,80000.0,40000.0
TWO TREES,2025-03-03 00:00:00,Renewal Permit Without Changes,Signed-off,Low Cost,1,1000.0,1000.0,1000.0
PR,2025-09-03 00:00:00,Initial Permit,Signed-off,Medium Cost,1,52650.0,52650.0,52650.0
"SAFWAY ATLANTIC, LLC",2025-09-25 00:00:00,Renewal Permit Without Changes,Permit Issued,Low Cost,2,0.0,0.0,0.0
Not Applicable,2024-11-01 00:00:00,Initial Permit,Signed-off,Low Cost,1,34600.0,34600.0,34600.0
A PLUS 1 MANAGEMENT INC,2025-06-12 00:00:00,Initial Permit,Permit Issued,Low Cost,1,160.0,160.0,160.0
PR,2023-02-01 00:00:00,Renewal Permit with Changes,Signed-off,Low Cost,2,46000.0,92000.0,46000.0
,2025-04-02 00:00:00,Renewal Permit Without Changes,Signed-off,Low Cost,1,0.0,0.0,0.0
NYCHA,2022-07-29 00:00:00,Initial Permit,Signed-off,Low Cost,1,37470.0,37470.0,37470.0
NYC SCHOOL CONSTRUCTION AUTHORITY,2023-02-28 00:00:00,Initial Permit,Signed-off,Low Cost,1,30800.0,30800.0,30800.0
MHANY MANAGEMENT INC.,2024-07-17 00:00:00,Initial Permit,Signed-off,Low Cost,6,5000.0,30000.0,5000.0
